MPCt-12,MPCt-11,MPCt-10,MPCt-9,MPCt-8,MPCt-7,MPCt-6,MPCt-5,MPCt-4,MPCt-3,MPCt-2,MPCt-1
4.375210838,3.498950315,4.370666299,4.035059156,5.016736437,3.76146789,4.52790576,3.773921939,3.44918372,4.184100418,4.763038819,5.590566825
3.498950315,4.370666299,4.035059156,5.016736437,3.76146789,4.52790576,3.773921939,3.44918372,4.184100418,4.763038819,5.590566825,3.334444815
4.370666299,4.035059156,5.016736437,3.76146789,4.52790576,3.773921939,3.44918372,4.184100418,4.763038819,5.590566825,3.334444815,5.587962523
4.035059156,5.016736437,3.76146789,4.52790576,3.773921939,3.44918372,4.184100418,4.763038819,5.590566825,3.334444815,5.587962523,3.706449222
5.016736437,3.76146789,4.52790576,3.773921939,3.44918372,4.184100418,4.763038819,5.590566825,3.334444815,5.587962523,3.706449222,3.382899628
3.76146789,4.52790576,3.773921939,3.44918372,4.184100418,4.763038819,5.590566825,3.334444815,5.587962523,3.706449222,3.382899628,4.169098902
4.52790576,3.773921939,3.44918372,4.184100418,4.763038819,5.590566825,3.334444815,5.587962523,3.706449222,3.382899628,4.169098902,5.130836326
3.773921939,3.44918372,4.184100418,4.763038819,5.590566825,3.334444815,5.587962523,3.706449222,3.382899628,4.169098902,5.130836326,5.72327044
3.44918372,4.184100418,4.763038819,5.590566825,3.334444815,5.587962523,3.706449222,3.382899628,4.169098902,5.130836326,5.72327044,3.658536585
4.184100418,4.763038819,5.590566825,3.334444815,5.587962523,3.706449222,3.382899628,4.169098902,5.130836326,5.72327044,3.658536585,3.987640077
4.763038819,5.590566825,3.334444815,5.587962523,3.706449222,3.382899628,4.169098902,5.130836326,5.72327044,3.658536585,3.987640077,3.891050584
5.590566825,3.334444815,5.587962523,3.706449222,3.382899628,4.169098902,5.130836326,5.72327044,3.658536585,3.987640077,3.891050584,3.502501787
3.334444815,5.587962523,3.706449222,3.382899628,4.169098902,5.130836326,5.72327044,3.658536585,3.987640077,3.891050584,3.502501787,4.282655246
5.587962523,3.706449222,3.382899628,4.169098902,5.130836326,5.72327044,3.658536585,3.987640077,3.891050584,3.502501787,4.282655246,4.349717268
3.706449222,3.382899628,4.169098902,5.130836326,5.72327044,3.658536585,3.987640077,3.891050584,3.502501787,4.282655246,4.349717268,6.114108863
3.382899628,4.169098902,5.130836326,5.72327044,3.658536585,3.987640077,3.891050584,3.502501787,4.282655246,4.349717268,6.114108863,3.705075954
4.169098902,5.130836326,5.72327044,3.658536585,3.987640077,3.891050584,3.502501787,4.282655246,4.349717268,6.114108863,3.705075954,4.914263739
5.130836326,5.72327044,3.658536585,3.987640077,3.891050584,3.502501787,4.282655246,4.349717268,6.114108863,3.705075954,4.914263739,4.001303002
5.72327044,3.658536585,3.987640077,3.891050584,3.502501787,4.282655246,4.349717268,6.114108863,3.705075954,4.914263739,4.001303002,3.555878084
3.658536585,3.987640077,3.891050584,3.502501787,4.282655246,4.349717268,6.114108863,3.705075954,4.914263739,4.001303002,3.555878084,4.386302424
3.987640077,3.891050584,3.502501787,4.282655246,4.349717268,6.114108863,3.705075954,4.914263739,4.001303002,3.555878084,4.386302424,4.547521601
3.891050584,3.502501787,4.282655246,4.349717268,6.114108863,3.705075954,4.914263739,4.001303002,3.555878084,4.386302424,4.547521601,5.602240896
3.502501787,4.282655246,4.349717268,6.114108863,3.705075954,4.914263739,4.001303002,3.555878084,4.386302424,4.547521601,5.602240896,3.745318352
4.282655246,4.349717268,6.114108863,3.705075954,4.914263739,4.001303002,3.555878084,4.386302424,4.547521601,5.602240896,3.745318352,5.049843778
4.349717268,6.114108863,3.705075954,4.914263739,4.001303002,3.555878084,4.386302424,4.547521601,5.602240896,3.745318352,5.049843778,4.003202562
6.114108863,3.705075954,4.914263739,4.001303002,3.555878084,4.386302424,4.547521601,5.602240896,3.745318352,5.049843778,4.003202562,3.483336303
3.705075954,4.914263739,4.001303002,3.555878084,4.386302424,4.547521601,5.602240896,3.745318352,5.049843778,4.003202562,3.483336303,4.020100503
4.914263739,4.001303002,3.555878084,4.386302424,4.547521601,5.602240896,3.745318352,5.049843778,4.003202562,3.483336303,4.020100503,4.343137571
4.001303002,3.555878084,4.386302424,4.547521601,5.602240896,3.745318352,5.049843778,4.003202562,3.483336303,4.020100503,4.343137571,5.955926147
3.555878084,4.386302424,4.547521601,5.602240896,3.745318352,5.049843778,4.003202562,3.483336303,4.020100503,4.343137571,5.955926147,3.723142839
4.386302424,4.547521601,5.602240896,3.745318352,5.049843778,4.003202562,3.483336303,4.020100503,4.343137571,5.955926147,3.723142839,5.067139535
4.547521601,5.602240896,3.745318352,5.049843778,4.003202562,3.483336303,4.020100503,4.343137571,5.955926147,3.723142839,5.067139535,4.082465979
5.602240896,3.745318352,5.049843778,4.003202562,3.483336303,4.020100503,4.343137571,5.955926147,3.723142839,5.067139535,4.082465979,3.51000351
3.745318352,5.049843778,4.003202562,3.483336303,4.020100503,4.343137571,5.955926147,3.723142839,5.067139535,4.082465979,3.51000351,4.016064257
5.049843778,4.003202562,3.483336303,4.020100503,4.343137571,5.955926147,3.723142839,5.067139535,4.082465979,3.51000351,4.016064257,4.556434618
4.003202562,3.483336303,4.020100503,4.343137571,5.955926147,3.723142839,5.067139535,4.082465979,3.51000351,4.016064257,4.556434618,5.265929437
3.483336303,4.020100503,4.343137571,5.955926147,3.723142839,5.067139535,4.082465979,3.51000351,4.016064257,4.556434618,5.265929437,3.806750765
4.020100503,4.343137571,5.955926147,3.723142839,5.067139535,4.082465979,3.51000351,4.016064257,4.556434618,5.265929437,3.806750765,4.809355927
4.343137571,5.955926147,3.723142839,5.067139535,4.082465979,3.51000351,4.016064257,4.556434618,5.265929437,3.806750765,4.809355927,4.000016
5.955926147,3.723142839,5.067139535,4.082465979,3.51000351,4.016064257,4.556434618,5.265929437,3.806750765,4.809355927,4.000016,3.514938489
3.723142839,5.067139535,4.082465979,3.51000351,4.016064257,4.556434618,5.265929437,3.806750765,4.809355927,4.000016,3.514938489,4.383561644
5.067139535,4.082465979,3.51000351,4.016064257,4.556434618,5.265929437,3.806750765,4.809355927,4.000016,3.514938489,4.383561644,4.577360653
4.082465979,3.51000351,4.016064257,4.556434618,5.265929437,3.806750765,4.809355927,4.000016,3.514938489,4.383561644,4.577360653,5.889281508
3.51000351,4.016064257,4.556434618,5.265929437,3.806750765,4.809355927,4.000016,3.514938489,4.383561644,4.577360653,5.889281508,3.989361702
4.016064257,4.556434618,5.265929437,3.806750765,4.809355927,4.000016,3.514938489,4.383561644,4.577360653,5.889281508,3.989361702,4.509882053
4.556434618,5.265929437,3.806750765,4.809355927,4.000016,3.514938489,4.383561644,4.577360653,5.889281508,3.989361702,4.509882053,4.109589041
5.265929437,3.806750765,4.809355927,4.000016,3.514938489,4.383561644,4.577360653,5.889281508,3.989361702,4.509882053,4.109589041,4.00160064
3.806750765,4.809355927,4.000016,3.514938489,4.383561644,4.577360653,5.889281508,3.989361702,4.509882053,4.109589041,4.00160064,5.197844181
4.809355927,4.000016,3.514938489,4.383561644,4.577360653,5.889281508,3.989361702,4.509882053,4.109589041,4.00160064,5.197844181,9.201103195
4.000016,3.514938489,4.383561644,4.577360653,5.889281508,3.989361702,4.509882053,4.109589041,4.00160064,5.197844181,9.201103195,6.806523498
3.514938489,4.383561644,4.577360653,5.889281508,3.989361702,4.509882053,4.109589041,4.00160064,5.197844181,9.201103195,6.806523498,4.348834527
4.383561644,4.577360653,5.889281508,3.989361702,4.509882053,4.109589041,4.00160064,5.197844181,9.201103195,6.806523498,4.348834527,4.202123794
4.577360653,5.889281508,3.989361702,4.509882053,4.109589041,4.00160064,5.197844181,9.201103195,6.806523498,4.348834527,4.202123794,4.767581205
5.889281508,3.989361702,4.509882053,4.109589041,4.00160064,5.197844181,9.201103195,6.806523498,4.348834527,4.202123794,4.767581205,3.572704537
3.989361702,4.509882053,4.109589041,4.00160064,5.197844181,9.201103195,6.806523498,4.348834527,4.202123794,4.767581205,3.572704537,4.050008804
4.509882053,4.109589041,4.00160064,5.197844181,9.201103195,6.806523498,4.348834527,4.202123794,4.767581205,3.572704537,4.050008804,4.615384615
4.109589041,4.00160064,5.197844181,9.201103195,6.806523498,4.348834527,4.202123794,4.767581205,3.572704537,4.050008804,4.615384615,6.325060048
4.00160064,5.197844181,9.201103195,6.806523498,4.348834527,4.202123794,4.767581205,3.572704537,4.050008804,4.615384615,6.325060048,3.942307692
5.197844181,9.201103195,6.806523498,4.348834527,4.202123794,4.767581205,3.572704537,4.050008804,4.615384615,6.325060048,3.942307692,6.128433415
9.201103195,6.806523498,4.348834527,4.202123794,4.767581205,3.572704537,4.050008804,4.615384615,6.325060048,3.942307692,6.128433415,4.373610082
6.806523498,4.348834527,4.202123794,4.767581205,3.572704537,4.050008804,4.615384615,6.325060048,3.942307692,6.128433415,4.373610082,3.584229391
4.348834527,4.202123794,4.767581205,3.572704537,4.050008804,4.615384615,6.325060048,3.942307692,6.128433415,4.373610082,3.584229391,4.08997955
4.202123794,4.767581205,3.572704537,4.050008804,4.615384615,6.325060048,3.942307692,6.128433415,4.373610082,3.584229391,4.08997955,5.835123538
4.767581205,3.572704537,4.050008804,4.615384615,6.325060048,3.942307692,6.128433415,4.373610082,3.584229391,4.08997955,5.835123538,5.981931486
3.572704537,4.050008804,4.615384615,6.325060048,3.942307692,6.128433415,4.373610082,3.584229391,4.08997955,5.835123538,5.981931486,3.450655625
4.050008804,4.615384615,6.325060048,3.942307692,6.128433415,4.373610082,3.584229391,4.08997955,5.835123538,5.981931486,3.450655625,4.532155903
4.615384615,6.325060048,3.942307692,6.128433415,4.373610082,3.584229391,4.08997955,5.835123538,5.981931486,3.450655625,4.532155903,4.545454545
6.325060048,3.942307692,6.128433415,4.373610082,3.584229391,4.08997955,5.835123538,5.981931486,3.450655625,4.532155903,4.545454545,3.432835821
3.942307692,6.128433415,4.373610082,3.584229391,4.08997955,5.835123538,5.981931486,3.450655625,4.532155903,4.545454545,3.432835821,3.994137032
6.128433415,4.373610082,3.584229391,4.08997955,5.835123538,5.981931486,3.450655625,4.532155903,4.545454545,3.432835821,3.994137032,3.812705742
4.373610082,3.584229391,4.08997955,5.835123538,5.981931486,3.450655625,4.532155903,4.545454545,3.432835821,3.994137032,3.812705742,5.219206681
3.584229391,4.08997955,5.835123538,5.981931486,3.450655625,4.532155903,4.545454545,3.432835821,3.994137032,3.812705742,5.219206681,3.571084181
4.08997955,5.835123538,5.981931486,3.450655625,4.532155903,4.545454545,3.432835821,3.994137032,3.812705742,5.219206681,3.571084181,5.108971646
5.835123538,5.981931486,3.450655625,4.532155903,4.545454545,3.432835821,3.994137032,3.812705742,5.219206681,3.571084181,5.108971646,4.141414141
5.981931486,3.450655625,4.532155903,4.545454545,3.432835821,3.994137032,3.812705742,5.219206681,3.571084181,5.108971646,4.141414141,3.333344444
3.450655625,4.532155903,4.545454545,3.432835821,3.994137032,3.812705742,5.219206681,3.571084181,5.108971646,4.141414141,3.333344444,3.705762588
4.532155903,4.545454545,3.432835821,3.994137032,3.812705742,5.219206681,3.571084181,5.108971646,4.141414141,3.333344444,3.705762588,4.00160064
4.545454545,3.432835821,3.994137032,3.812705742,5.219206681,3.571084181,5.108971646,4.141414141,3.333344444,3.705762588,4.00160064,5.885815185
3.432835821,3.994137032,3.812705742,5.219206681,3.571084181,5.108971646,4.141414141,3.333344444,3.705762588,4.00160064,5.885815185,3.684573368
3.994137032,3.812705742,5.219206681,3.571084181,5.108971646,4.141414141,3.333344444,3.705762588,4.00160064,5.885815185,3.684573368,5.288509569
3.812705742,5.219206681,3.571084181,5.108971646,4.141414141,3.333344444,3.705762588,4.00160064,5.885815185,3.684573368,5.288509569,3.964691109
5.219206681,3.571084181,5.108971646,4.141414141,3.333344444,3.705762588,4.00160064,5.885815185,3.684573368,5.288509569,3.964691109,3.290322581
3.571084181,5.108971646,4.141414141,3.333344444,3.705762588,4.00160064,5.885815185,3.684573368,5.288509569,3.964691109,3.290322581,3.926556751
5.108971646,4.141414141,3.333344444,3.705762588,4.00160064,5.885815185,3.684573368,5.288509569,3.964691109,3.290322581,3.926556751,4.357298475
4.141414141,3.333344444,3.705762588,4.00160064,5.885815185,3.684573368,5.288509569,3.964691109,3.290322581,3.926556751,4.357298475,5.245901639
3.333344444,3.705762588,4.00160064,5.885815185,3.684573368,5.288509569,3.964691109,3.290322581,3.926556751,4.357298475,5.245901639,3.573981415
3.705762588,4.00160064,5.885815185,3.684573368,5.288509569,3.964691109,3.290322581,3.926556751,4.357298475,5.245901639,3.573981415,4.705684108
4.00160064,5.885815185,3.684573368,5.288509569,3.964691109,3.290322581,3.926556751,4.357298475,5.245901639,3.573981415,4.705684108,3.602401601
5.885815185,3.684573368,5.288509569,3.964691109,3.290322581,3.926556751,4.357298475,5.245901639,3.573981415,4.705684108,3.602401601,3.193535064
3.684573368,5.288509569,3.964691109,3.290322581,3.926556751,4.357298475,5.245901639,3.573981415,4.705684108,3.602401601,3.193535064,3.749964632
5.288509569,3.964691109,3.290322581,3.926556751,4.357298475,5.245901639,3.573981415,4.705684108,3.602401601,3.193535064,3.749964632,4.729422465
3.964691109,3.290322581,3.926556751,4.357298475,5.245901639,3.573981415,4.705684108,3.602401601,3.193535064,3.749964632,4.729422465,5.637525348
3.290322581,3.926556751,4.357298475,5.245901639,3.573981415,4.705684108,3.602401601,3.193535064,3.749964632,4.729422465,5.637525348,3.572704537
3.926556751,4.357298475,5.245901639,3.573981415,4.705684108,3.602401601,3.193535064,3.749964632,4.729422465,5.637525348,3.572704537,5.328477059
4.357298475,5.245901639,3.573981415,4.705684108,3.602401601,3.193535064,3.749964632,4.729422465,5.637525348,3.572704537,5.328477059,3.706325586
5.245901639,3.573981415,4.705684108,3.602401601,3.193535064,3.749964632,4.729422465,5.637525348,3.572704537,5.328477059,3.706325586,3.255813953
3.573981415,4.705684108,3.602401601,3.193535064,3.749964632,4.729422465,5.637525348,3.572704537,5.328477059,3.706325586,3.255813953,4.016064257
4.705684108,3.602401601,3.193535064,3.749964632,4.729422465,5.637525348,3.572704537,5.328477059,3.706325586,3.255813953,4.016064257,4.349717268
3.602401601,3.193535064,3.749964632,4.729422465,5.637525348,3.572704537,5.328477059,3.706325586,3.255813953,4.016064257,4.349717268,5.423728814
3.193535064,3.749964632,4.729422465,5.637525348,3.572704537,5.328477059,3.706325586,3.255813953,4.016064257,4.349717268,5.423728814,3.460207612
3.749964632,4.729422465,5.637525348,3.572704537,5.328477059,3.706325586,3.255813953,4.016064257,4.349717268,5.423728814,3.460207612,4.138727748
4.729422465,5.637525348,3.572704537,5.328477059,3.706325586,3.255813953,4.016064257,4.349717268,5.423728814,3.460207612,4.138727748,3.846647069
5.637525348,3.572704537,5.328477059,3.706325586,3.255813953,4.016064257,4.349717268,5.423728814,3.460207612,4.138727748,3.846647069,3.366340594
3.572704537,5.328477059,3.706325586,3.255813953,4.016064257,4.349717268,5.423728814,3.460207612,4.138727748,3.846647069,3.366340594,3.835141968
5.328477059,3.706325586,3.255813953,4.016064257,4.349717268,5.423728814,3.460207612,4.138727748,3.846647069,3.366340594,3.835141968,4.178465907
3.706325586,3.255813953,4.016064257,4.349717268,5.423728814,3.460207612,4.138727748,3.846647069,3.366340594,3.835141968,4.178465907,5.628834842
3.255813953,4.016064257,4.349717268,5.423728814,3.460207612,4.138727748,3.846647069,3.366340594,3.835141968,4.178465907,5.628834842,3.510157525
4.016064257,4.349717268,5.423728814,3.460207612,4.138727748,3.846647069,3.366340594,3.835141968,4.178465907,5.628834842,3.510157525,4.284050865
4.349717268,5.423728814,3.460207612,4.138727748,3.846647069,3.366340594,3.835141968,4.178465907,5.628834842,3.510157525,4.284050865,3.847633705
5.423728814,3.460207612,4.138727748,3.846647069,3.366340594,3.835141968,4.178465907,5.628834842,3.510157525,4.284050865,3.847633705,3.334444815
3.460207612,4.138727748,3.846647069,3.366340594,3.835141968,4.178465907,5.628834842,3.510157525,4.284050865,3.847633705,3.334444815,4.0
4.138727748,3.846647069,3.366340594,3.835141968,4.178465907,5.628834842,3.510157525,4.284050865,3.847633705,3.334444815,4.0,4.100035315
3.846647069,3.366340594,3.835141968,4.178465907,5.628834842,3.510157525,4.284050865,3.847633705,3.334444815,4.0,4.100035315,6.007067138
3.366340594,3.835141968,4.178465907,5.628834842,3.510157525,4.284050865,3.847633705,3.334444815,4.0,4.100035315,6.007067138,3.390405153
3.835141968,4.178465907,5.628834842,3.510157525,4.284050865,3.847633705,3.334444815,4.0,4.100035315,6.007067138,3.390405153,4.697215903
4.178465907,5.628834842,3.510157525,4.284050865,3.847633705,3.334444815,4.0,4.100035315,6.007067138,3.390405153,4.697215903,3.740562482
5.628834842,3.510157525,4.284050865,3.847633705,3.334444815,4.0,4.100035315,6.007067138,3.390405153,4.697215903,3.740562482,3.334463346
3.510157525,4.284050865,3.847633705,3.334444815,4.0,4.100035315,6.007067138,3.390405153,4.697215903,3.740562482,3.334463346,3.642578359
4.284050865,3.847633705,3.334444815,4.0,4.100035315,6.007067138,3.390405153,4.697215903,3.740562482,3.334463346,3.642578359,3.922084759
3.847633705,3.334444815,4.0,4.100035315,6.007067138,3.390405153,4.697215903,3.740562482,3.334463346,3.642578359,3.922084759,5.576524643
3.334444815,4.0,4.100035315,6.007067138,3.390405153,4.697215903,3.740562482,3.334463346,3.642578359,3.922084759,5.576524643,3.386365068
4.0,4.100035315,6.007067138,3.390405153,4.697215903,3.740562482,3.334463346,3.642578359,3.922084759,5.576524643,3.386365068,3.899415171
4.100035315,6.007067138,3.390405153,4.697215903,3.740562482,3.334463346,3.642578359,3.922084759,5.576524643,3.386365068,3.899415171,3.773940971
6.007067138,3.390405153,4.697215903,3.740562482,3.334463346,3.642578359,3.922084759,5.576524643,3.386365068,3.899415171,3.773940971,3.440860215
3.390405153,4.697215903,3.740562482,3.334463346,3.642578359,3.922084759,5.576524643,3.386365068,3.899415171,3.773940971,3.440860215,3.636363636
4.697215903,3.740562482,3.334463346,3.642578359,3.922084759,5.576524643,3.386365068,3.899415171,3.773940971,3.440860215,3.636363636,4.54195535
3.740562482,3.334463346,3.642578359,3.922084759,5.576524643,3.386365068,3.899415171,3.773940971,3.440860215,3.636363636,4.54195535,5.560189476
3.334463346,3.642578359,3.922084759,5.576524643,3.386365068,3.899415171,3.773940971,3.440860215,3.636363636,4.54195535,5.560189476,3.505249961
3.642578359,3.922084759,5.576524643,3.386365068,3.899415171,3.773940971,3.440860215,3.636363636,4.54195535,5.560189476,3.505249961,4.370188284
3.922084759,5.576524643,3.386365068,3.899415171,3.773940971,3.440860215,3.636363636,4.54195535,5.560189476,3.505249961,4.370188284,4.00160064
5.576524643,3.386365068,3.899415171,3.773940971,3.440860215,3.636363636,4.54195535,5.560189476,3.505249961,4.370188284,4.00160064,3.658830116
3.386365068,3.899415171,3.773940971,3.440860215,3.636363636,4.54195535,5.560189476,3.505249961,4.370188284,4.00160064,3.658830116,3.627227044
3.899415171,3.773940971,3.440860215,3.636363636,4.54195535,5.560189476,3.505249961,4.370188284,4.00160064,3.658830116,3.627227044,4.148471616
3.773940971,3.440860215,3.636363636,4.54195535,5.560189476,3.505249961,4.370188284,4.00160064,3.658830116,3.627227044,4.148471616,6.015037594
3.440860215,3.636363636,4.54195535,5.560189476,3.505249961,4.370188284,4.00160064,3.658830116,3.627227044,4.148471616,6.015037594,4.067027027
3.636363636,4.54195535,5.560189476,3.505249961,4.370188284,4.00160064,3.658830116,3.627227044,4.148471616,6.015037594,4.067027027,3.914069775
4.54195535,5.560189476,3.505249961,4.370188284,4.00160064,3.658830116,3.627227044,4.148471616,6.015037594,4.067027027,3.914069775,4.546488073
5.560189476,3.505249961,4.370188284,4.00160064,3.658830116,3.627227044,4.148471616,6.015037594,4.067027027,3.914069775,4.546488073,3.509387612
3.505249961,4.370188284,4.00160064,3.658830116,3.627227044,4.148471616,6.015037594,4.067027027,3.914069775,4.546488073,3.509387612,3.548387097
4.370188284,4.00160064,3.658830116,3.627227044,4.148471616,6.015037594,4.067027027,3.914069775,4.546488073,3.509387612,3.548387097,6.889411603
4.00160064,3.658830116,3.627227044,4.148471616,6.015037594,4.067027027,3.914069775,4.546488073,3.509387612,3.548387097,6.889411603,5.857740586
3.658830116,3.627227044,4.148471616,6.015037594,4.067027027,3.914069775,4.546488073,3.509387612,3.548387097,6.889411603,5.857740586,3.268845897
3.627227044,4.148471616,6.015037594,4.067027027,3.914069775,4.546488073,3.509387612,3.548387097,6.889411603,5.857740586,3.268845897,4.290797346
4.148471616,6.015037594,4.067027027,3.914069775,4.546488073,3.509387612,3.548387097,6.889411603,5.857740586,3.268845897,4.290797346,4.032258065
6.015037594,4.067027027,3.914069775,4.546488073,3.509387612,3.548387097,6.889411603,5.857740586,3.268845897,4.290797346,4.032258065,3.448275862
