TNVt-12,TNVt-11,TNVt-10,TNVt-9,TNVt-8,TNVt-7,TNVt-6,TNVt-5,TNVt-4,TNVt-3,TNVt-2,TNVt-1
3.6809,2.8937,3.3617,3.0483,3.4844,3.69,3.35365,3.7068,2.9135,3.2789,3.0977,3.5732
2.8937,3.3617,3.0483,3.4844,3.69,3.35365,3.7068,2.9135,3.2789,3.0977,3.5732,3.7429
3.3617,3.0483,3.4844,3.69,3.35365,3.7068,2.9135,3.2789,3.0977,3.5732,3.7429,3.415566667
3.0483,3.4844,3.69,3.35365,3.7068,2.9135,3.2789,3.0977,3.5732,3.7429,3.415566667,3.7876
3.4844,3.69,3.35365,3.7068,2.9135,3.2789,3.0977,3.5732,3.7429,3.415566667,3.7876,2.9327
3.69,3.35365,3.7068,2.9135,3.2789,3.0977,3.5732,3.7429,3.415566667,3.7876,2.9327,3.3593
3.35365,3.7068,2.9135,3.2789,3.0977,3.5732,3.7429,3.415566667,3.7876,2.9327,3.3593,3.0984
3.7068,2.9135,3.2789,3.0977,3.5732,3.7429,3.415566667,3.7876,2.9327,3.3593,3.0984,3.6112
2.9135,3.2789,3.0977,3.5732,3.7429,3.415566667,3.7876,2.9327,3.3593,3.0984,3.6112,3.7379
3.2789,3.0977,3.5732,3.7429,3.415566667,3.7876,2.9327,3.3593,3.0984,3.6112,3.7379,3.423266667
3.0977,3.5732,3.7429,3.415566667,3.7876,2.9327,3.3593,3.0984,3.6112,3.7379,3.423266667,3.8274
3.5732,3.7429,3.415566667,3.7876,2.9327,3.3593,3.0984,3.6112,3.7379,3.423266667,3.8274,2.923
3.7429,3.415566667,3.7876,2.9327,3.3593,3.0984,3.6112,3.7379,3.423266667,3.8274,2.923,3.3417
3.415566667,3.7876,2.9327,3.3593,3.0984,3.6112,3.7379,3.423266667,3.8274,2.923,3.3417,3.1041
3.7876,2.9327,3.3593,3.0984,3.6112,3.7379,3.423266667,3.8274,2.923,3.3417,3.1041,3.8695
2.9327,3.3593,3.0984,3.6112,3.7379,3.423266667,3.8274,2.923,3.3417,3.1041,3.8695,3.7603
3.3593,3.0984,3.6112,3.7379,3.423266667,3.8274,2.923,3.3417,3.1041,3.8695,3.7603,3.51185
3.0984,3.6112,3.7379,3.423266667,3.8274,2.923,3.3417,3.1041,3.8695,3.7603,3.51185,3.9256
3.6112,3.7379,3.423266667,3.8274,2.923,3.3417,3.1041,3.8695,3.7603,3.51185,3.9256,2.9902
3.7379,3.423266667,3.8274,2.923,3.3417,3.1041,3.8695,3.7603,3.51185,3.9256,2.9902,3.4214
3.423266667,3.8274,2.923,3.3417,3.1041,3.8695,3.7603,3.51185,3.9256,2.9902,3.4214,3.0984
3.8274,2.923,3.3417,3.1041,3.8695,3.7603,3.51185,3.9256,2.9902,3.4214,3.0984,3.8679
2.923,3.3417,3.1041,3.8695,3.7603,3.51185,3.9256,2.9902,3.4214,3.0984,3.8679,3.7434
3.3417,3.1041,3.8695,3.7603,3.51185,3.9256,2.9902,3.4214,3.0984,3.8679,3.7434,3.501233333
3.1041,3.8695,3.7603,3.51185,3.9256,2.9902,3.4214,3.0984,3.8679,3.7434,3.501233333,3.8884
3.8695,3.7603,3.51185,3.9256,2.9902,3.4214,3.0984,3.8679,3.7434,3.501233333,3.8884,3.0317
3.7603,3.51185,3.9256,2.9902,3.4214,3.0984,3.8679,3.7434,3.501233333,3.8884,3.0317,3.3776
3.51185,3.9256,2.9902,3.4214,3.0984,3.8679,3.7434,3.501233333,3.8884,3.0317,3.3776,3.103
3.9256,2.9902,3.4214,3.0984,3.8679,3.7434,3.501233333,3.8884,3.0317,3.3776,3.103,3.8976
2.9902,3.4214,3.0984,3.8679,3.7434,3.501233333,3.8884,3.0317,3.3776,3.103,3.8976,3.7224
3.4214,3.0984,3.8679,3.7434,3.501233333,3.8884,3.0317,3.3776,3.103,3.8976,3.7224,3.512283333
3.0984,3.8679,3.7434,3.501233333,3.8884,3.0317,3.3776,3.103,3.8976,3.7224,3.512283333,3.9098
3.8679,3.7434,3.501233333,3.8884,3.0317,3.3776,3.103,3.8976,3.7224,3.512283333,3.9098,3.1748
3.7434,3.501233333,3.8884,3.0317,3.3776,3.103,3.8976,3.7224,3.512283333,3.9098,3.1748,3.2661
3.501233333,3.8884,3.0317,3.3776,3.103,3.8976,3.7224,3.512283333,3.9098,3.1748,3.2661,3.1368
3.8884,3.0317,3.3776,3.103,3.8976,3.7224,3.512283333,3.9098,3.1748,3.2661,3.1368,3.9215
3.0317,3.3776,3.103,3.8976,3.7224,3.512283333,3.9098,3.1748,3.2661,3.1368,3.9215,3.7346
3.3776,3.103,3.8976,3.7224,3.512283333,3.9098,3.1748,3.2661,3.1368,3.9215,3.7346,3.5282
3.103,3.8976,3.7224,3.512283333,3.9098,3.1748,3.2661,3.1368,3.9215,3.7346,3.5282,3.8897
3.8976,3.7224,3.512283333,3.9098,3.1748,3.2661,3.1368,3.9215,3.7346,3.5282,3.8897,3.2813
3.7224,3.512283333,3.9098,3.1748,3.2661,3.1368,3.9215,3.7346,3.5282,3.8897,3.2813,3.2053
3.512283333,3.9098,3.1748,3.2661,3.1368,3.9215,3.7346,3.5282,3.8897,3.2813,3.2053,3.132
3.9098,3.1748,3.2661,3.1368,3.9215,3.7346,3.5282,3.8897,3.2813,3.2053,3.132,3.9737
3.1748,3.2661,3.1368,3.9215,3.7346,3.5282,3.8897,3.2813,3.2053,3.132,3.9737,3.742
3.2661,3.1368,3.9215,3.7346,3.5282,3.8897,3.2813,3.2053,3.132,3.9737,3.742,3.577716667
3.1368,3.9215,3.7346,3.5282,3.8897,3.2813,3.2053,3.132,3.9737,3.742,3.577716667,3.9391
3.9215,3.7346,3.5282,3.8897,3.2813,3.2053,3.132,3.9737,3.742,3.577716667,3.9391,3.4514
3.7346,3.5282,3.8897,3.2813,3.2053,3.132,3.9737,3.742,3.577716667,3.9391,3.4514,3.2281
3.5282,3.8897,3.2813,3.2053,3.132,3.9737,3.742,3.577716667,3.9391,3.4514,3.2281,3.1364
3.8897,3.2813,3.2053,3.132,3.9737,3.742,3.577716667,3.9391,3.4514,3.2281,3.1364,3.9765
3.2813,3.2053,3.132,3.9737,3.742,3.577716667,3.9391,3.4514,3.2281,3.1364,3.9765,3.7215
3.2053,3.132,3.9737,3.742,3.577716667,3.9391,3.4514,3.2281,3.1364,3.9765,3.7215,3.579033333
3.132,3.9737,3.742,3.577716667,3.9391,3.4514,3.2281,3.1364,3.9765,3.7215,3.579033333,3.9311
3.9737,3.742,3.577716667,3.9391,3.4514,3.2281,3.1364,3.9765,3.7215,3.579033333,3.9311,3.4832
3.742,3.577716667,3.9391,3.4514,3.2281,3.1364,3.9765,3.7215,3.579033333,3.9311,3.4832,3.2255
3.577716667,3.9391,3.4514,3.2281,3.1364,3.9765,3.7215,3.579033333,3.9311,3.4832,3.2255,3.3531
3.9391,3.4514,3.2281,3.1364,3.9765,3.7215,3.579033333,3.9311,3.4832,3.2255,3.3531,3.9913
3.4514,3.2281,3.1364,3.9765,3.7215,3.579033333,3.9311,3.4832,3.2255,3.3531,3.9913,3.7438
3.2281,3.1364,3.9765,3.7215,3.579033333,3.9311,3.4832,3.2255,3.3531,3.9913,3.7438,3.6409
3.1364,3.9765,3.7215,3.579033333,3.9311,3.4832,3.2255,3.3531,3.9913,3.7438,3.6409,3.9573
3.9765,3.7215,3.579033333,3.9311,3.4832,3.2255,3.3531,3.9913,3.7438,3.6409,3.9573,3.5643
3.7215,3.579033333,3.9311,3.4832,3.2255,3.3531,3.9913,3.7438,3.6409,3.9573,3.5643,3.2356
3.579033333,3.9311,3.4832,3.2255,3.3531,3.9913,3.7438,3.6409,3.9573,3.5643,3.2356,3.3902
3.9311,3.4832,3.2255,3.3531,3.9913,3.7438,3.6409,3.9573,3.5643,3.2356,3.3902,4.0453
3.4832,3.2255,3.3531,3.9913,3.7438,3.6409,3.9573,3.5643,3.2356,3.3902,4.0453,3.8146
3.2255,3.3531,3.9913,3.7438,3.6409,3.9573,3.5643,3.2356,3.3902,4.0453,3.8146,3.681383333
3.3531,3.9913,3.7438,3.6409,3.9573,3.5643,3.2356,3.3902,4.0453,3.8146,3.681383333,4.0002
3.9913,3.7438,3.6409,3.9573,3.5643,3.2356,3.3902,4.0453,3.8146,3.681383333,4.0002,3.607
3.7438,3.6409,3.9573,3.5643,3.2356,3.3902,4.0453,3.8146,3.681383333,4.0002,3.607,3.231
3.6409,3.9573,3.5643,3.2356,3.3902,4.0453,3.8146,3.681383333,4.0002,3.607,3.231,3.4091
3.9573,3.5643,3.2356,3.3902,4.0453,3.8146,3.681383333,4.0002,3.607,3.231,3.4091,4.0793
3.5643,3.2356,3.3902,4.0453,3.8146,3.681383333,4.0002,3.607,3.231,3.4091,4.0793,3.8513
3.2356,3.3902,4.0453,3.8146,3.681383333,4.0002,3.607,3.231,3.4091,4.0793,3.8513,3.72605
3.3902,4.0453,3.8146,3.681383333,4.0002,3.607,3.231,3.4091,4.0793,3.8513,3.72605,4.0406
4.0453,3.8146,3.681383333,4.0002,3.607,3.231,3.4091,4.0793,3.8513,3.72605,4.0406,3.6427
3.8146,3.681383333,4.0002,3.607,3.231,3.4091,4.0793,3.8513,3.72605,4.0406,3.6427,3.3333
3.681383333,4.0002,3.607,3.231,3.4091,4.0793,3.8513,3.72605,4.0406,3.6427,3.3333,3.446
4.0002,3.607,3.231,3.4091,4.0793,3.8513,3.72605,4.0406,3.6427,3.3333,3.446,4.1331
3.607,3.231,3.4091,4.0793,3.8513,3.72605,4.0406,3.6427,3.3333,3.446,4.1331,3.8985
3.231,3.4091,4.0793,3.8513,3.72605,4.0406,3.6427,3.3333,3.446,4.1331,3.8985,3.760383333
3.4091,4.0793,3.8513,3.72605,4.0406,3.6427,3.3333,3.446,4.1331,3.8985,3.760383333,4.0566
4.0793,3.8513,3.72605,4.0406,3.6427,3.3333,3.446,4.1331,3.8985,3.760383333,4.0566,3.6872
3.8513,3.72605,4.0406,3.6427,3.3333,3.446,4.1331,3.8985,3.760383333,4.0566,3.6872,3.3409
3.72605,4.0406,3.6427,3.3333,3.446,4.1331,3.8985,3.760383333,4.0566,3.6872,3.3409,3.4821
4.0406,3.6427,3.3333,3.446,4.1331,3.8985,3.760383333,4.0566,3.6872,3.3409,3.4821,4.1962
3.6427,3.3333,3.446,4.1331,3.8985,3.760383333,4.0566,3.6872,3.3409,3.4821,4.1962,3.9559
3.3333,3.446,4.1331,3.8985,3.760383333,4.0566,3.6872,3.3409,3.4821,4.1962,3.9559,3.820733333
3.446,4.1331,3.8985,3.760383333,4.0566,3.6872,3.3409,3.4821,4.1962,3.9559,3.820733333,4.1445
4.1331,3.8985,3.760383333,4.0566,3.6872,3.3409,3.4821,4.1962,3.9559,3.820733333,4.1445,3.8048
3.8985,3.760383333,4.0566,3.6872,3.3409,3.4821,4.1962,3.9559,3.820733333,4.1445,3.8048,3.3409
3.760383333,4.0566,3.6872,3.3409,3.4821,4.1962,3.9559,3.820733333,4.1445,3.8048,3.3409,3.4957
4.0566,3.6872,3.3409,3.4821,4.1962,3.9559,3.820733333,4.1445,3.8048,3.3409,3.4957,4.1851
3.6872,3.3409,3.4821,4.1962,3.9559,3.820733333,4.1445,3.8048,3.3409,3.4957,4.1851,3.9681
3.3409,3.4821,4.1962,3.9559,3.820733333,4.1445,3.8048,3.3409,3.4957,4.1851,3.9681,3.84235
3.4821,4.1962,3.9559,3.820733333,4.1445,3.8048,3.3409,3.4957,4.1851,3.9681,3.84235,4.1391
4.1962,3.9559,3.820733333,4.1445,3.8048,3.3409,3.4957,4.1851,3.9681,3.84235,4.1391,3.9
3.9559,3.820733333,4.1445,3.8048,3.3409,3.4957,4.1851,3.9681,3.84235,4.1391,3.9,3.3661
3.820733333,4.1445,3.8048,3.3409,3.4957,4.1851,3.9681,3.84235,4.1391,3.9,3.3661,3.534
4.1445,3.8048,3.3409,3.4957,4.1851,3.9681,3.84235,4.1391,3.9,3.3661,3.534,4.2675
3.8048,3.3409,3.4957,4.1851,3.9681,3.84235,4.1391,3.9,3.3661,3.534,4.2675,4.0914
3.3409,3.4957,4.1851,3.9681,3.84235,4.1391,3.9,3.3661,3.534,4.2675,4.0914,3.89345
3.4957,4.1851,3.9681,3.84235,4.1391,3.9,3.3661,3.534,4.2675,4.0914,3.89345,4.1258
4.1851,3.9681,3.84235,4.1391,3.9,3.3661,3.534,4.2675,4.0914,3.89345,4.1258,3.9128
3.9681,3.84235,4.1391,3.9,3.3661,3.534,4.2675,4.0914,3.89345,4.1258,3.9128,3.4292
3.84235,4.1391,3.9,3.3661,3.534,4.2675,4.0914,3.89345,4.1258,3.9128,3.4292,3.5532
4.1391,3.9,3.3661,3.534,4.2675,4.0914,3.89345,4.1258,3.9128,3.4292,3.5532,4.3154
3.9,3.3661,3.534,4.2675,4.0914,3.89345,4.1258,3.9128,3.4292,3.5532,4.3154,4.1437
3.3661,3.534,4.2675,4.0914,3.89345,4.1258,3.9128,3.4292,3.5532,4.3154,4.1437,3.90385
3.534,4.2675,4.0914,3.89345,4.1258,3.9128,3.4292,3.5532,4.3154,4.1437,3.90385,4.1218
4.2675,4.0914,3.89345,4.1258,3.9128,3.4292,3.5532,4.3154,4.1437,3.90385,4.1218,3.8699
4.0914,3.89345,4.1258,3.9128,3.4292,3.5532,4.3154,4.1437,3.90385,4.1218,3.8699,3.4191
3.89345,4.1258,3.9128,3.4292,3.5532,4.3154,4.1437,3.90385,4.1218,3.8699,3.4191,3.5813
4.1258,3.9128,3.4292,3.5532,4.3154,4.1437,3.90385,4.1218,3.8699,3.4191,3.5813,4.3213
3.9128,3.4292,3.5532,4.3154,4.1437,3.90385,4.1218,3.8699,3.4191,3.5813,4.3213,4.1604
3.4292,3.5532,4.3154,4.1437,3.90385,4.1218,3.8699,3.4191,3.5813,4.3213,4.1604,3.900033333
3.5532,4.3154,4.1437,3.90385,4.1218,3.8699,3.4191,3.5813,4.3213,4.1604,3.900033333,4.1019
4.3154,4.1437,3.90385,4.1218,3.8699,3.4191,3.5813,4.3213,4.1604,3.900033333,4.1019,3.7682
4.1437,3.90385,4.1218,3.8699,3.4191,3.5813,4.3213,4.1604,3.900033333,4.1019,3.7682,3.4671
3.90385,4.1218,3.8699,3.4191,3.5813,4.3213,4.1604,3.900033333,4.1019,3.7682,3.4671,3.626
4.1218,3.8699,3.4191,3.5813,4.3213,4.1604,3.900033333,4.1019,3.7682,3.4671,3.626,4.3571
3.8699,3.4191,3.5813,4.3213,4.1604,3.900033333,4.1019,3.7682,3.4671,3.626,4.3571,4.2327
3.4191,3.5813,4.3213,4.1604,3.900033333,4.1019,3.7682,3.4671,3.626,4.3571,4.2327,3.934
3.5813,4.3213,4.1604,3.900033333,4.1019,3.7682,3.4671,3.626,4.3571,4.2327,3.934,4.1498
4.3213,4.1604,3.900033333,4.1019,3.7682,3.4671,3.626,4.3571,4.2327,3.934,4.1498,3.7158
4.1604,3.900033333,4.1019,3.7682,3.4671,3.626,4.3571,4.2327,3.934,4.1498,3.7158,3.5226
3.900033333,4.1019,3.7682,3.4671,3.626,4.3571,4.2327,3.934,4.1498,3.7158,3.5226,3.6515
4.1019,3.7682,3.4671,3.626,4.3571,4.2327,3.934,4.1498,3.7158,3.5226,3.6515,4.3721
3.7682,3.4671,3.626,4.3571,4.2327,3.934,4.1498,3.7158,3.5226,3.6515,4.3721,4.2401
3.4671,3.626,4.3571,4.2327,3.934,4.1498,3.7158,3.5226,3.6515,4.3721,4.2401,3.9264
3.626,4.3571,4.2327,3.934,4.1498,3.7158,3.5226,3.6515,4.3721,4.2401,3.9264,4.179
4.3571,4.2327,3.934,4.1498,3.7158,3.5226,3.6515,4.3721,4.2401,3.9264,4.179,3.5855
4.2327,3.934,4.1498,3.7158,3.5226,3.6515,4.3721,4.2401,3.9264,4.179,3.5855,3.5302
3.934,4.1498,3.7158,3.5226,3.6515,4.3721,4.2401,3.9264,4.179,3.5855,3.5302,3.6678
4.1498,3.7158,3.5226,3.6515,4.3721,4.2401,3.9264,4.179,3.5855,3.5302,3.6678,4.3747
3.7158,3.5226,3.6515,4.3721,4.2401,3.9264,4.179,3.5855,3.5302,3.6678,4.3747,4.2585
3.5226,3.6515,4.3721,4.2401,3.9264,4.179,3.5855,3.5302,3.6678,4.3747,4.2585,3.919666667
3.6515,4.3721,4.2401,3.9264,4.179,3.5855,3.5302,3.6678,4.3747,4.2585,3.919666667,4.1521
4.3721,4.2401,3.9264,4.179,3.5855,3.5302,3.6678,4.3747,4.2585,3.919666667,4.1521,3.5347
4.2401,3.9264,4.179,3.5855,3.5302,3.6678,4.3747,4.2585,3.919666667,4.1521,3.5347,3.5302
3.9264,4.179,3.5855,3.5302,3.6678,4.3747,4.2585,3.919666667,4.1521,3.5347,3.5302,3.6836
4.179,3.5855,3.5302,3.6678,4.3747,4.2585,3.919666667,4.1521,3.5347,3.5302,3.6836,4.3844
3.5855,3.5302,3.6678,4.3747,4.2585,3.919666667,4.1521,3.5347,3.5302,3.6836,4.3844,4.2942
3.5302,3.6678,4.3747,4.2585,3.919666667,4.1521,3.5347,3.5302,3.6836,4.3844,4.2942,3.928883333
3.6678,4.3747,4.2585,3.919666667,4.1521,3.5347,3.5302,3.6836,4.3844,4.2942,3.928883333,4.0976
4.3747,4.2585,3.919666667,4.1521,3.5347,3.5302,3.6836,4.3844,4.2942,3.928883333,4.0976,3.5252
4.2585,3.919666667,4.1521,3.5347,3.5302,3.6836,4.3844,4.2942,3.928883333,4.0976,3.5252,3.5883
3.919666667,4.1521,3.5347,3.5302,3.6836,4.3844,4.2942,3.928883333,4.0976,3.5252,3.5883,3.7241
4.1521,3.5347,3.5302,3.6836,4.3844,4.2942,3.928883333,4.0976,3.5252,3.5883,3.7241,4.382
3.5347,3.5302,3.6836,4.3844,4.2942,3.928883333,4.0976,3.5252,3.5883,3.7241,4.382,4.3021
3.5302,3.6836,4.3844,4.2942,3.928883333,4.0976,3.5252,3.5883,3.7241,4.382,4.3021,3.933133333
3.6836,4.3844,4.2942,3.928883333,4.0976,3.5252,3.5883,3.7241,4.382,4.3021,3.933133333,4.079
4.3844,4.2942,3.928883333,4.0976,3.5252,3.5883,3.7241,4.382,4.3021,3.933133333,4.079,3.4602
4.2942,3.928883333,4.0976,3.5252,3.5883,3.7241,4.382,4.3021,3.933133333,4.079,3.4602,3.6514
3.928883333,4.0976,3.5252,3.5883,3.7241,4.382,4.3021,3.933133333,4.079,3.4602,3.6514,3.7431
4.0976,3.5252,3.5883,3.7241,4.382,4.3021,3.933133333,4.079,3.4602,3.6514,3.7431,4.3641
3.5252,3.5883,3.7241,4.382,4.3021,3.933133333,4.079,3.4602,3.6514,3.7431,4.3641,4.3118
3.5883,3.7241,4.382,4.3021,3.933133333,4.079,3.4602,3.6514,3.7431,4.3641,4.3118,3.937166667
3.7241,4.382,4.3021,3.933133333,4.079,3.4602,3.6514,3.7431,4.3641,4.3118,3.937166667,4.0313
4.382,4.3021,3.933133333,4.079,3.4602,3.6514,3.7431,4.3641,4.3118,3.937166667,4.0313,3.4683
4.3021,3.933133333,4.079,3.4602,3.6514,3.7431,4.3641,4.3118,3.937166667,4.0313,3.4683,3.7044
3.933133333,4.079,3.4602,3.6514,3.7431,4.3641,4.3118,3.937166667,4.0313,3.4683,3.7044,3.8043
4.079,3.4602,3.6514,3.7431,4.3641,4.3118,3.937166667,4.0313,3.4683,3.7044,3.8043,4.424
3.4602,3.6514,3.7431,4.3641,4.3118,3.937166667,4.0313,3.4683,3.7044,3.8043,4.424,4.3864
3.6514,3.7431,4.3641,4.3118,3.937166667,4.0313,3.4683,3.7044,3.8043,4.424,4.3864,4.004133333
