IVt-12,IVt-11,IVt-10,IVt-9,IVt-8,IVt-7,IVt-6,IVt-5,IVt-4,IVt-3,IVt-2,IVt-1
34.2,11.73,55.34,13.04,25.66,21.53,18.13,33.18,11.42,59.34,12.49,25.35
11.73,55.34,13.04,25.66,21.53,18.13,33.18,11.42,59.34,12.49,25.35,23.78
55.34,13.04,25.66,21.53,18.13,33.18,11.42,59.34,12.49,25.35,23.78,16.69
13.04,25.66,21.53,18.13,33.18,11.42,59.34,12.49,25.35,23.78,16.69,29.59
25.66,21.53,18.13,33.18,11.42,59.34,12.49,25.35,23.78,16.69,29.59,12.59
21.53,18.13,33.18,11.42,59.34,12.49,25.35,23.78,16.69,29.59,12.59,57.88
18.13,33.18,11.42,59.34,12.49,25.35,23.78,16.69,29.59,12.59,57.88,11.17
33.18,11.42,59.34,12.49,25.35,23.78,16.69,29.59,12.59,57.88,11.17,23.97
11.42,59.34,12.49,25.35,23.78,16.69,29.59,12.59,57.88,11.17,23.97,21.9
59.34,12.49,25.35,23.78,16.69,29.59,12.59,57.88,11.17,23.97,21.9,13.26
12.49,25.35,23.78,16.69,29.59,12.59,57.88,11.17,23.97,21.9,13.26,25.56
25.35,23.78,16.69,29.59,12.59,57.88,11.17,23.97,21.9,13.26,25.56,10.18
23.78,16.69,29.59,12.59,57.88,11.17,23.97,21.9,13.26,25.56,10.18,58.45
16.69,29.59,12.59,57.88,11.17,23.97,21.9,13.26,25.56,10.18,58.45,8.79
29.59,12.59,57.88,11.17,23.97,21.9,13.26,25.56,10.18,58.45,8.79,21.78
12.59,57.88,11.17,23.97,21.9,13.26,25.56,10.18,58.45,8.79,21.78,23.03
57.88,11.17,23.97,21.9,13.26,25.56,10.18,58.45,8.79,21.78,23.03,13.17
11.17,23.97,21.9,13.26,25.56,10.18,58.45,8.79,21.78,23.03,13.17,23.71
23.97,21.9,13.26,25.56,10.18,58.45,8.79,21.78,23.03,13.17,23.71,9.75
21.9,13.26,25.56,10.18,58.45,8.79,21.78,23.03,13.17,23.71,9.75,58.76
13.26,25.56,10.18,58.45,8.79,21.78,23.03,13.17,23.71,9.75,58.76,7.74
25.56,10.18,58.45,8.79,21.78,23.03,13.17,23.71,9.75,58.76,7.74,20.43
10.18,58.45,8.79,21.78,23.03,13.17,23.71,9.75,58.76,7.74,20.43,22.1
58.45,8.79,21.78,23.03,13.17,23.71,9.75,58.76,7.74,20.43,22.1,13.44
8.79,21.78,23.03,13.17,23.71,9.75,58.76,7.74,20.43,22.1,13.44,22.91
21.78,23.03,13.17,23.71,9.75,58.76,7.74,20.43,22.1,13.44,22.91,9.54
23.03,13.17,23.71,9.75,58.76,7.74,20.43,22.1,13.44,22.91,9.54,51.41
13.17,23.71,9.75,58.76,7.74,20.43,22.1,13.44,22.91,9.54,51.41,8.43
23.71,9.75,58.76,7.74,20.43,22.1,13.44,22.91,9.54,51.41,8.43,19.28
9.75,58.76,7.74,20.43,22.1,13.44,22.91,9.54,51.41,8.43,19.28,23.69
58.76,7.74,20.43,22.1,13.44,22.91,9.54,51.41,8.43,19.28,23.69,16.0
7.74,20.43,22.1,13.44,22.91,9.54,51.41,8.43,19.28,23.69,16.0,26.55
20.43,22.1,13.44,22.91,9.54,51.41,8.43,19.28,23.69,16.0,26.55,11.45
22.1,13.44,22.91,9.54,51.41,8.43,19.28,23.69,16.0,26.55,11.45,52.77
13.44,22.91,9.54,51.41,8.43,19.28,23.69,16.0,26.55,11.45,52.77,9.21
22.91,9.54,51.41,8.43,19.28,23.69,16.0,26.55,11.45,52.77,9.21,19.87
9.54,51.41,8.43,19.28,23.69,16.0,26.55,11.45,52.77,9.21,19.87,24.64
51.41,8.43,19.28,23.69,16.0,26.55,11.45,52.77,9.21,19.87,24.64,15.57
8.43,19.28,23.69,16.0,26.55,11.45,52.77,9.21,19.87,24.64,15.57,26.77
19.28,23.69,16.0,26.55,11.45,52.77,9.21,19.87,24.64,15.57,26.77,13.58
23.69,16.0,26.55,11.45,52.77,9.21,19.87,24.64,15.57,26.77,13.58,52.5
16.0,26.55,11.45,52.77,9.21,19.87,24.64,15.57,26.77,13.58,52.5,9.66
26.55,11.45,52.77,9.21,19.87,24.64,15.57,26.77,13.58,52.5,9.66,20.18
11.45,52.77,9.21,19.87,24.64,15.57,26.77,13.58,52.5,9.66,20.18,25.24
52.77,9.21,19.87,24.64,15.57,26.77,13.58,52.5,9.66,20.18,25.24,17.09
9.21,19.87,24.64,15.57,26.77,13.58,52.5,9.66,20.18,25.24,17.09,27.3
19.87,24.64,15.57,26.77,13.58,52.5,9.66,20.18,25.24,17.09,27.3,14.65
24.64,15.57,26.77,13.58,52.5,9.66,20.18,25.24,17.09,27.3,14.65,55.23
15.57,26.77,13.58,52.5,9.66,20.18,25.24,17.09,27.3,14.65,55.23,9.61
26.77,13.58,52.5,9.66,20.18,25.24,17.09,27.3,14.65,55.23,9.61,20.93
13.58,52.5,9.66,20.18,25.24,17.09,27.3,14.65,55.23,9.61,20.93,26.58
52.5,9.66,20.18,25.24,17.09,27.3,14.65,55.23,9.61,20.93,26.58,17.98
9.66,20.18,25.24,17.09,27.3,14.65,55.23,9.61,20.93,26.58,17.98,25.77
20.18,25.24,17.09,27.3,14.65,55.23,9.61,20.93,26.58,17.98,25.77,16.93
25.24,17.09,27.3,14.65,55.23,9.61,20.93,26.58,17.98,25.77,16.93,50.73
17.09,27.3,14.65,55.23,9.61,20.93,26.58,17.98,25.77,16.93,50.73,9.04
27.3,14.65,55.23,9.61,20.93,26.58,17.98,25.77,16.93,50.73,9.04,23.1
14.65,55.23,9.61,20.93,26.58,17.98,25.77,16.93,50.73,9.04,23.1,27.03
55.23,9.61,20.93,26.58,17.98,25.77,16.93,50.73,9.04,23.1,27.03,20.6
9.61,20.93,26.58,17.98,25.77,16.93,50.73,9.04,23.1,27.03,20.6,25.26
20.93,26.58,17.98,25.77,16.93,50.73,9.04,23.1,27.03,20.6,25.26,19.36
26.58,17.98,25.77,16.93,50.73,9.04,23.1,27.03,20.6,25.26,19.36,42.84
17.98,25.77,16.93,50.73,9.04,23.1,27.03,20.6,25.26,19.36,42.84,9.08
25.77,16.93,50.73,9.04,23.1,27.03,20.6,25.26,19.36,42.84,9.08,24.26
16.93,50.73,9.04,23.1,27.03,20.6,25.26,19.36,42.84,9.08,24.26,29.3
50.73,9.04,23.1,27.03,20.6,25.26,19.36,42.84,9.08,24.26,29.3,22.55
9.04,23.1,27.03,20.6,25.26,19.36,42.84,9.08,24.26,29.3,22.55,23.89
23.1,27.03,20.6,25.26,19.36,42.84,9.08,24.26,29.3,22.55,23.89,20.7
27.03,20.6,25.26,19.36,42.84,9.08,24.26,29.3,22.55,23.89,20.7,35.74
20.6,25.26,19.36,42.84,9.08,24.26,29.3,22.55,23.89,20.7,35.74,10.2
25.26,19.36,42.84,9.08,24.26,29.3,22.55,23.89,20.7,35.74,10.2,25.76
19.36,42.84,9.08,24.26,29.3,22.55,23.89,20.7,35.74,10.2,25.76,30.6
42.84,9.08,24.26,29.3,22.55,23.89,20.7,35.74,10.2,25.76,30.6,25.56
9.08,24.26,29.3,22.55,23.89,20.7,35.74,10.2,25.76,30.6,25.56,24.36
24.26,29.3,22.55,23.89,20.7,35.74,10.2,25.76,30.6,25.56,24.36,22.98
29.3,22.55,23.89,20.7,35.74,10.2,25.76,30.6,25.56,24.36,22.98,33.1
22.55,23.89,20.7,35.74,10.2,25.76,30.6,25.56,24.36,22.98,33.1,13.81
23.89,20.7,35.74,10.2,25.76,30.6,25.56,24.36,22.98,33.1,13.81,28.9
20.7,35.74,10.2,25.76,30.6,25.56,24.36,22.98,33.1,13.81,28.9,33.11
35.74,10.2,25.76,30.6,25.56,24.36,22.98,33.1,13.81,28.9,33.11,27.71
10.2,25.76,30.6,25.56,24.36,22.98,33.1,13.81,28.9,33.11,27.71,25.64
25.76,30.6,25.56,24.36,22.98,33.1,13.81,28.9,33.11,27.71,25.64,23.24
30.6,25.56,24.36,22.98,33.1,13.81,28.9,33.11,27.71,25.64,23.24,32.49
25.56,24.36,22.98,33.1,13.81,28.9,33.11,27.71,25.64,23.24,32.49,14.62
24.36,22.98,33.1,13.81,28.9,33.11,27.71,25.64,23.24,32.49,14.62,32.03
22.98,33.1,13.81,28.9,33.11,27.71,25.64,23.24,32.49,14.62,32.03,36.55
33.1,13.81,28.9,33.11,27.71,25.64,23.24,32.49,14.62,32.03,36.55,33.67
13.81,28.9,33.11,27.71,25.64,23.24,32.49,14.62,32.03,36.55,33.67,26.81
28.9,33.11,27.71,25.64,23.24,32.49,14.62,32.03,36.55,33.67,26.81,25.34
33.11,27.71,25.64,23.24,32.49,14.62,32.03,36.55,33.67,26.81,25.34,32.75
27.71,25.64,23.24,32.49,14.62,32.03,36.55,33.67,26.81,25.34,32.75,18.34
25.64,23.24,32.49,14.62,32.03,36.55,33.67,26.81,25.34,32.75,18.34,35.38
23.24,32.49,14.62,32.03,36.55,33.67,26.81,25.34,32.75,18.34,35.38,41.16
32.49,14.62,32.03,36.55,33.67,26.81,25.34,32.75,18.34,35.38,41.16,39.47
14.62,32.03,36.55,33.67,26.81,25.34,32.75,18.34,35.38,41.16,39.47,26.75
32.03,36.55,33.67,26.81,25.34,32.75,18.34,35.38,41.16,39.47,26.75,28.62
36.55,33.67,26.81,25.34,32.75,18.34,35.38,41.16,39.47,26.75,28.62,32.46
33.67,26.81,25.34,32.75,18.34,35.38,41.16,39.47,26.75,28.62,32.46,21.33
26.81,25.34,32.75,18.34,35.38,41.16,39.47,26.75,28.62,32.46,21.33,40.61
25.34,32.75,18.34,35.38,41.16,39.47,26.75,28.62,32.46,21.33,40.61,42.38
32.75,18.34,35.38,41.16,39.47,26.75,28.62,32.46,21.33,40.61,42.38,45.68
18.34,35.38,41.16,39.47,26.75,28.62,32.46,21.33,40.61,42.38,45.68,27.3
35.38,41.16,39.47,26.75,28.62,32.46,21.33,40.61,42.38,45.68,27.3,31.78
41.16,39.47,26.75,28.62,32.46,21.33,40.61,42.38,45.68,27.3,31.78,35.1
39.47,26.75,28.62,32.46,21.33,40.61,42.38,45.68,27.3,31.78,35.1,24.41
26.75,28.62,32.46,21.33,40.61,42.38,45.68,27.3,31.78,35.1,24.41,45.26
28.62,32.46,21.33,40.61,42.38,45.68,27.3,31.78,35.1,24.41,45.26,46.4
32.46,21.33,40.61,42.38,45.68,27.3,31.78,35.1,24.41,45.26,46.4,43.52
21.33,40.61,42.38,45.68,27.3,31.78,35.1,24.41,45.26,46.4,43.52,26.82
40.61,42.38,45.68,27.3,31.78,35.1,24.41,45.26,46.4,43.52,26.82,34.32
42.38,45.68,27.3,31.78,35.1,24.41,45.26,46.4,43.52,26.82,34.32,38.05
45.68,27.3,31.78,35.1,24.41,45.26,46.4,43.52,26.82,34.32,38.05,24.27
27.3,31.78,35.1,24.41,45.26,46.4,43.52,26.82,34.32,38.05,24.27,50.66
31.78,35.1,24.41,45.26,46.4,43.52,26.82,34.32,38.05,24.27,50.66,48.01
35.1,24.41,45.26,46.4,43.52,26.82,34.32,38.05,24.27,50.66,48.01,43.45
24.41,45.26,46.4,43.52,26.82,34.32,38.05,24.27,50.66,48.01,43.45,25.72
45.26,46.4,43.52,26.82,34.32,38.05,24.27,50.66,48.01,43.45,25.72,36.79
46.4,43.52,26.82,34.32,38.05,24.27,50.66,48.01,43.45,25.72,36.79,38.76
43.52,26.82,34.32,38.05,24.27,50.66,48.01,43.45,25.72,36.79,38.76,24.19
26.82,34.32,38.05,24.27,50.66,48.01,43.45,25.72,36.79,38.76,24.19,54.59
34.32,38.05,24.27,50.66,48.01,43.45,25.72,36.79,38.76,24.19,54.59,48.54
38.05,24.27,50.66,48.01,43.45,25.72,36.79,38.76,24.19,54.59,48.54,45.18
24.27,50.66,48.01,43.45,25.72,36.79,38.76,24.19,54.59,48.54,45.18,25.51
50.66,48.01,43.45,25.72,36.79,38.76,24.19,54.59,48.54,45.18,25.51,35.88
48.01,43.45,25.72,36.79,38.76,24.19,54.59,48.54,45.18,25.51,35.88,39.22
43.45,25.72,36.79,38.76,24.19,54.59,48.54,45.18,25.51,35.88,39.22,27.44
25.72,36.79,38.76,24.19,54.59,48.54,45.18,25.51,35.88,39.22,27.44,58.14
36.79,38.76,24.19,54.59,48.54,45.18,25.51,35.88,39.22,27.44,58.14,48.8
38.76,24.19,54.59,48.54,45.18,25.51,35.88,39.22,27.44,58.14,48.8,46.34
24.19,54.59,48.54,45.18,25.51,35.88,39.22,27.44,58.14,48.8,46.34,25.47
54.59,48.54,45.18,25.51,35.88,39.22,27.44,58.14,48.8,46.34,25.47,37.0
48.54,45.18,25.51,35.88,39.22,27.44,58.14,48.8,46.34,25.47,37.0,39.55
45.18,25.51,35.88,39.22,27.44,58.14,48.8,46.34,25.47,37.0,39.55,31.14
25.51,35.88,39.22,27.44,58.14,48.8,46.34,25.47,37.0,39.55,31.14,60.76
35.88,39.22,27.44,58.14,48.8,46.34,25.47,37.0,39.55,31.14,60.76,46.1
39.22,27.44,58.14,48.8,46.34,25.47,37.0,39.55,31.14,60.76,46.1,46.85
27.44,58.14,48.8,46.34,25.47,37.0,39.55,31.14,60.76,46.1,46.85,26.7
58.14,48.8,46.34,25.47,37.0,39.55,31.14,60.76,46.1,46.85,26.7,37.04
48.8,46.34,25.47,37.0,39.55,31.14,60.76,46.1,46.85,26.7,37.04,39.57
46.34,25.47,37.0,39.55,31.14,60.76,46.1,46.85,26.7,37.04,39.57,34.01
25.47,37.0,39.55,31.14,60.76,46.1,46.85,26.7,37.04,39.57,34.01,63.85
37.0,39.55,31.14,60.76,46.1,46.85,26.7,37.04,39.57,34.01,63.85,48.05
39.55,31.14,60.76,46.1,46.85,26.7,37.04,39.57,34.01,63.85,48.05,44.71
31.14,60.76,46.1,46.85,26.7,37.04,39.57,34.01,63.85,48.05,44.71,27.06
60.76,46.1,46.85,26.7,37.04,39.57,34.01,63.85,48.05,44.71,27.06,37.0
46.1,46.85,26.7,37.04,39.57,34.01,63.85,48.05,44.71,27.06,37.0,40.5
46.85,26.7,37.04,39.57,34.01,63.85,48.05,44.71,27.06,37.0,40.5,34.79
26.7,37.04,39.57,34.01,63.85,48.05,44.71,27.06,37.0,40.5,34.79,66.84
37.04,39.57,34.01,63.85,48.05,44.71,27.06,37.0,40.5,34.79,66.84,46.42
39.57,34.01,63.85,48.05,44.71,27.06,37.0,40.5,34.79,66.84,46.42,43.81
34.01,63.85,48.05,44.71,27.06,37.0,40.5,34.79,66.84,46.42,43.81,28.46
63.85,48.05,44.71,27.06,37.0,40.5,34.79,66.84,46.42,43.81,28.46,36.22
48.05,44.71,27.06,37.0,40.5,34.79,66.84,46.42,43.81,28.46,36.22,42.31
44.71,27.06,37.0,40.5,34.79,66.84,46.42,43.81,28.46,36.22,42.31,34.55
27.06,37.0,40.5,34.79,66.84,46.42,43.81,28.46,36.22,42.31,34.55,69.86
37.0,40.5,34.79,66.84,46.42,43.81,28.46,36.22,42.31,34.55,69.86,45.54
40.5,34.79,66.84,46.42,43.81,28.46,36.22,42.31,34.55,69.86,45.54,40.92
34.79,66.84,46.42,43.81,28.46,36.22,42.31,34.55,69.86,45.54,40.92,30.56
66.84,46.42,43.81,28.46,36.22,42.31,34.55,69.86,45.54,40.92,30.56,40.17
46.42,43.81,28.46,36.22,42.31,34.55,69.86,45.54,40.92,30.56,40.17,45.88
43.81,28.46,36.22,42.31,34.55,69.86,45.54,40.92,30.56,40.17,45.88,35.94
28.46,36.22,42.31,34.55,69.86,45.54,40.92,30.56,40.17,45.88,35.94,72.33
36.22,42.31,34.55,69.86,45.54,40.92,30.56,40.17,45.88,35.94,72.33,46.63
42.31,34.55,69.86,45.54,40.92,30.56,40.17,45.88,35.94,72.33,46.63,37.16
34.55,69.86,45.54,40.92,30.56,40.17,45.88,35.94,72.33,46.63,37.16,31.27
69.86,45.54,40.92,30.56,40.17,45.88,35.94,72.33,46.63,37.16,31.27,40.69
45.54,40.92,30.56,40.17,45.88,35.94,72.33,46.63,37.16,31.27,40.69,46.06
40.92,30.56,40.17,45.88,35.94,72.33,46.63,37.16,31.27,40.69,46.06,37.28
30.56,40.17,45.88,35.94,72.33,46.63,37.16,31.27,40.69,46.06,37.28,75.56
40.17,45.88,35.94,72.33,46.63,37.16,31.27,40.69,46.06,37.28,75.56,48.46
45.88,35.94,72.33,46.63,37.16,31.27,40.69,46.06,37.28,75.56,48.46,33.79
35.94,72.33,46.63,37.16,31.27,40.69,46.06,37.28,75.56,48.46,33.79,31.91
72.33,46.63,37.16,31.27,40.69,46.06,37.28,75.56,48.46,33.79,31.91,38.59
46.63,37.16,31.27,40.69,46.06,37.28,75.56,48.46,33.79,31.91,38.59,47.25
37.16,31.27,40.69,46.06,37.28,75.56,48.46,33.79,31.91,38.59,47.25,40.63
31.27,40.69,46.06,37.28,75.56,48.46,33.79,31.91,38.59,47.25,40.63,78.29
40.69,46.06,37.28,75.56,48.46,33.79,31.91,38.59,47.25,40.63,78.29,47.71
46.06,37.28,75.56,48.46,33.79,31.91,38.59,47.25,40.63,78.29,47.71,31.51
37.28,75.56,48.46,33.79,31.91,38.59,47.25,40.63,78.29,47.71,31.51,32.37
75.56,48.46,33.79,31.91,38.59,47.25,40.63,78.29,47.71,31.51,32.37,37.59
48.46,33.79,31.91,38.59,47.25,40.63,78.29,47.71,31.51,32.37,37.59,44.64
33.79,31.91,38.59,47.25,40.63,78.29,47.71,31.51,32.37,37.59,44.64,43.87
31.91,38.59,47.25,40.63,78.29,47.71,31.51,32.37,37.59,44.64,43.87,80.31
38.59,47.25,40.63,78.29,47.71,31.51,32.37,37.59,44.64,43.87,80.31,50.67
47.25,40.63,78.29,47.71,31.51,32.37,37.59,44.64,43.87,80.31,50.67,31.57
40.63,78.29,47.71,31.51,32.37,37.59,44.64,43.87,80.31,50.67,31.57,32.33
78.29,47.71,31.51,32.37,37.59,44.64,43.87,80.31,50.67,31.57,32.33,37.8
47.71,31.51,32.37,37.59,44.64,43.87,80.31,50.67,31.57,32.33,37.8,38.63
31.51,32.37,37.59,44.64,43.87,80.31,50.67,31.57,32.33,37.8,38.63,53.34
32.37,37.59,44.64,43.87,80.31,50.67,31.57,32.33,37.8,38.63,53.34,83.27
37.59,44.64,43.87,80.31,50.67,31.57,32.33,37.8,38.63,53.34,83.27,52.74
44.64,43.87,80.31,50.67,31.57,32.33,37.8,38.63,53.34,83.27,52.74,32.53
43.87,80.31,50.67,31.57,32.33,37.8,38.63,53.34,83.27,52.74,32.53,33.3
80.31,50.67,31.57,32.33,37.8,38.63,53.34,83.27,52.74,32.53,33.3,42.52
50.67,31.57,32.33,37.8,38.63,53.34,83.27,52.74,32.53,33.3,42.52,35.57
31.57,32.33,37.8,38.63,53.34,83.27,52.74,32.53,33.3,42.52,35.57,60.63
32.33,37.8,38.63,53.34,83.27,52.74,32.53,33.3,42.52,35.57,60.63,85.76
37.8,38.63,53.34,83.27,52.74,32.53,33.3,42.52,35.57,60.63,85.76,58.55
38.63,53.34,83.27,52.74,32.53,33.3,42.52,35.57,60.63,85.76,58.55,35.06
53.34,83.27,52.74,32.53,33.3,42.52,35.57,60.63,85.76,58.55,35.06,36.24
83.27,52.74,32.53,33.3,42.52,35.57,60.63,85.76,58.55,35.06,36.24,48.0
52.74,32.53,33.3,42.52,35.57,60.63,85.76,58.55,35.06,36.24,48.0,38.54
32.53,33.3,42.52,35.57,60.63,85.76,58.55,35.06,36.24,48.0,38.54,70.34
33.3,42.52,35.57,60.63,85.76,58.55,35.06,36.24,48.0,38.54,70.34,87.73
42.52,35.57,60.63,85.76,58.55,35.06,36.24,48.0,38.54,70.34,87.73,63.06
35.57,60.63,85.76,58.55,35.06,36.24,48.0,38.54,70.34,87.73,63.06,41.78
60.63,85.76,58.55,35.06,36.24,48.0,38.54,70.34,87.73,63.06,41.78,39.62
85.76,58.55,35.06,36.24,48.0,38.54,70.34,87.73,63.06,41.78,39.62,54.71
58.55,35.06,36.24,48.0,38.54,70.34,87.73,63.06,41.78,39.62,54.71,39.82
35.06,36.24,48.0,38.54,70.34,87.73,63.06,41.78,39.62,54.71,39.82,75.03
36.24,48.0,38.54,70.34,87.73,63.06,41.78,39.62,54.71,39.82,75.03,89.19
48.0,38.54,70.34,87.73,63.06,41.78,39.62,54.71,39.82,75.03,89.19,68.79
38.54,70.34,87.73,63.06,41.78,39.62,54.71,39.82,75.03,89.19,68.79,46.91
70.34,87.73,63.06,41.78,39.62,54.71,39.82,75.03,89.19,68.79,46.91,41.21
87.73,63.06,41.78,39.62,54.71,39.82,75.03,89.19,68.79,46.91,41.21,60.6
63.06,41.78,39.62,54.71,39.82,75.03,89.19,68.79,46.91,41.21,60.6,37.43
41.78,39.62,54.71,39.82,75.03,89.19,68.79,46.91,41.21,60.6,37.43,75.75
39.62,54.71,39.82,75.03,89.19,68.79,46.91,41.21,60.6,37.43,75.75,90.14
54.71,39.82,75.03,89.19,68.79,46.91,41.21,60.6,37.43,75.75,90.14,73.69
39.82,75.03,89.19,68.79,46.91,41.21,60.6,37.43,75.75,90.14,73.69,52.4
75.03,89.19,68.79,46.91,41.21,60.6,37.43,75.75,90.14,73.69,52.4,43.7
89.19,68.79,46.91,41.21,60.6,37.43,75.75,90.14,73.69,52.4,43.7,67.75
68.79,46.91,41.21,60.6,37.43,75.75,90.14,73.69,52.4,43.7,67.75,41.51
46.91,41.21,60.6,37.43,75.75,90.14,73.69,52.4,43.7,67.75,41.51,78.74
41.21,60.6,37.43,75.75,90.14,73.69,52.4,43.7,67.75,41.51,78.74,90.83
60.6,37.43,75.75,90.14,73.69,52.4,43.7,67.75,41.51,78.74,90.83,74.71
37.43,75.75,90.14,73.69,52.4,43.7,67.75,41.51,78.74,90.83,74.71,56.22
75.75,90.14,73.69,52.4,43.7,67.75,41.51,78.74,90.83,74.71,56.22,47.04
90.14,73.69,52.4,43.7,67.75,41.51,78.74,90.83,74.71,56.22,47.04,70.4
73.69,52.4,43.7,67.75,41.51,78.74,90.83,74.71,56.22,47.04,70.4,45.45
52.4,43.7,67.75,41.51,78.74,90.83,74.71,56.22,47.04,70.4,45.45,81.81
43.7,67.75,41.51,78.74,90.83,74.71,56.22,47.04,70.4,45.45,81.81,91.46
67.75,41.51,78.74,90.83,74.71,56.22,47.04,70.4,45.45,81.81,91.46,75.84
41.51,78.74,90.83,74.71,56.22,47.04,70.4,45.45,81.81,91.46,75.84,57.74
78.74,90.83,74.71,56.22,47.04,70.4,45.45,81.81,91.46,75.84,57.74,49.36
90.83,74.71,56.22,47.04,70.4,45.45,81.81,91.46,75.84,57.74,49.36,72.32
74.71,56.22,47.04,70.4,45.45,81.81,91.46,75.84,57.74,49.36,72.32,51.86
56.22,47.04,70.4,45.45,81.81,91.46,75.84,57.74,49.36,72.32,51.86,84.08
47.04,70.4,45.45,81.81,91.46,75.84,57.74,49.36,72.32,51.86,84.08,91.93
70.4,45.45,81.81,91.46,75.84,57.74,49.36,72.32,51.86,84.08,91.93,78.21
45.45,81.81,91.46,75.84,57.74,49.36,72.32,51.86,84.08,91.93,78.21,60.57
81.81,91.46,75.84,57.74,49.36,72.32,51.86,84.08,91.93,78.21,60.57,50.09
91.46,75.84,57.74,49.36,72.32,51.86,84.08,91.93,78.21,60.57,50.09,72.0
75.84,57.74,49.36,72.32,51.86,84.08,91.93,78.21,60.57,50.09,72.0,51.77
57.74,49.36,72.32,51.86,84.08,91.93,78.21,60.57,50.09,72.0,51.77,83.98
49.36,72.32,51.86,84.08,91.93,78.21,60.57,50.09,72.0,51.77,83.98,92.21
72.32,51.86,84.08,91.93,78.21,60.57,50.09,72.0,51.77,83.98,92.21,77.44
51.86,84.08,91.93,78.21,60.57,50.09,72.0,51.77,83.98,92.21,77.44,67.3
84.08,91.93,78.21,60.57,50.09,72.0,51.77,83.98,92.21,77.44,67.3,52.31
91.93,78.21,60.57,50.09,72.0,51.77,83.98,92.21,77.44,67.3,52.31,73.58
78.21,60.57,50.09,72.0,51.77,83.98,92.21,77.44,67.3,52.31,73.58,53.31
60.57,50.09,72.0,51.77,83.98,92.21,77.44,67.3,52.31,73.58,53.31,84.35
50.09,72.0,51.77,83.98,92.21,77.44,67.3,52.31,73.58,53.31,84.35,91.36
72.0,51.77,83.98,92.21,77.44,67.3,52.31,73.58,53.31,84.35,91.36,77.47
51.77,83.98,92.21,77.44,67.3,52.31,73.58,53.31,84.35,91.36,77.47,72.95
83.98,92.21,77.44,67.3,52.31,73.58,53.31,84.35,91.36,77.47,72.95,53.95
92.21,77.44,67.3,52.31,73.58,53.31,84.35,91.36,77.47,72.95,53.95,74.17
