DVt-12,DVt-11,DVt-10,DVt-9,DVt-8,DVt-7,DVt-6,DVt-5,DVt-4,DVt-3,DVt-2,DVt-1
49.53,61.37,59.86666667,51.34,72.07,58.77,68.57,50.66,61.98,61.04,52.46,71.54
61.37,59.86666667,51.34,72.07,58.77,68.57,50.66,61.98,61.04,52.46,71.54,61.03
59.86666667,51.34,72.07,58.77,68.57,50.66,61.98,61.04,52.46,71.54,61.03,70.91
51.34,72.07,58.77,68.57,50.66,61.98,61.04,52.46,71.54,61.03,70.91,50.92
72.07,58.77,68.57,50.66,61.98,61.04,52.46,71.54,61.03,70.91,50.92,64.25
58.77,68.57,50.66,61.98,61.04,52.46,71.54,61.03,70.91,50.92,64.25,62.21666667
68.57,50.66,61.98,61.04,52.46,71.54,61.03,70.91,50.92,64.25,62.21666667,53.8
50.66,61.98,61.04,52.46,71.54,61.03,70.91,50.92,64.25,62.21666667,53.8,72.04
61.98,61.04,52.46,71.54,61.03,70.91,50.92,64.25,62.21666667,53.8,72.04,61.38
61.04,52.46,71.54,61.03,70.91,50.92,64.25,62.21666667,53.8,72.04,61.38,72.71
52.46,71.54,61.03,70.91,50.92,64.25,62.21666667,53.8,72.04,61.38,72.71,51.95
71.54,61.03,70.91,50.92,64.25,62.21666667,53.8,72.04,61.38,72.71,51.95,65.97
61.03,70.91,50.92,64.25,62.21666667,53.8,72.04,61.38,72.71,51.95,65.97,63.57333333
70.91,50.92,64.25,62.21666667,53.8,72.04,61.38,72.71,51.95,65.97,63.57333333,54.68
50.92,64.25,62.21666667,53.8,72.04,61.38,72.71,51.95,65.97,63.57333333,54.68,71.39
64.25,62.21666667,53.8,72.04,61.38,72.71,51.95,65.97,63.57333333,54.68,71.39,64.74
62.21666667,53.8,72.04,61.38,72.71,51.95,65.97,63.57333333,54.68,71.39,64.74,73.8
53.8,72.04,61.38,72.71,51.95,65.97,63.57333333,54.68,71.39,64.74,73.8,51.88
72.04,61.38,72.71,51.95,65.97,63.57333333,54.68,71.39,64.74,73.8,51.88,66.59
61.38,72.71,51.95,65.97,63.57333333,54.68,71.39,64.74,73.8,51.88,66.59,63.88666667
72.71,51.95,65.97,63.57333333,54.68,71.39,64.74,73.8,51.88,66.59,63.88666667,56.46
51.95,65.97,63.57333333,54.68,71.39,64.74,73.8,51.88,66.59,63.88666667,56.46,69.44
65.97,63.57333333,54.68,71.39,64.74,73.8,51.88,66.59,63.88666667,56.46,69.44,65.15
63.57333333,54.68,71.39,64.74,73.8,51.88,66.59,63.88666667,56.46,69.44,65.15,74.25
54.68,71.39,64.74,73.8,51.88,66.59,63.88666667,56.46,69.44,65.15,74.25,48.18
71.39,64.74,73.8,51.88,66.59,63.88666667,56.46,69.44,65.15,74.25,48.18,66.67
64.74,73.8,51.88,66.59,63.88666667,56.46,69.44,65.15,74.25,48.18,66.67,63.39
73.8,51.88,66.59,63.88666667,56.46,69.44,65.15,74.25,48.18,66.67,63.39,57.45
51.88,66.59,63.88666667,56.46,69.44,65.15,74.25,48.18,66.67,63.39,57.45,66.75
66.59,63.88666667,56.46,69.44,65.15,74.25,48.18,66.67,63.39,57.45,66.75,67.04
63.88666667,56.46,69.44,65.15,74.25,48.18,66.67,63.39,57.45,66.75,67.04,74.48
56.46,69.44,65.15,74.25,48.18,66.67,63.39,57.45,66.75,67.04,74.48,45.02
69.44,65.15,74.25,48.18,66.67,63.39,57.45,66.75,67.04,74.48,45.02,64.87
65.15,74.25,48.18,66.67,63.39,57.45,66.75,67.04,74.48,45.02,64.87,61.95833333
74.25,48.18,66.67,63.39,57.45,66.75,67.04,74.48,45.02,64.87,61.95833333,56.88
48.18,66.67,63.39,57.45,66.75,67.04,74.48,45.02,64.87,61.95833333,56.88,64.06
66.67,63.39,57.45,66.75,67.04,74.48,45.02,64.87,61.95833333,56.88,64.06,66.44
63.39,57.45,66.75,67.04,74.48,45.02,64.87,61.95833333,56.88,64.06,66.44,74.98
57.45,66.75,67.04,74.48,45.02,64.87,61.95833333,56.88,64.06,66.44,74.98,41.63
66.75,67.04,74.48,45.02,64.87,61.95833333,56.88,64.06,66.44,74.98,41.63,61.56
67.04,74.48,45.02,64.87,61.95833333,56.88,64.06,66.44,74.98,41.63,61.56,59.41833333
74.48,45.02,64.87,61.95833333,56.88,64.06,66.44,74.98,41.63,61.56,59.41833333,54.69
45.02,64.87,61.95833333,56.88,64.06,66.44,74.98,41.63,61.56,59.41833333,54.69,59.67
64.87,61.95833333,56.88,64.06,66.44,74.98,41.63,61.56,59.41833333,54.69,59.67,63.98
61.95833333,56.88,64.06,66.44,74.98,41.63,61.56,59.41833333,54.69,59.67,63.98,75.46
56.88,64.06,66.44,74.98,41.63,61.56,59.41833333,54.69,59.67,63.98,75.46,39.09
64.06,66.44,74.98,41.63,61.56,59.41833333,54.69,59.67,63.98,75.46,39.09,60.32
66.44,74.98,41.63,61.56,59.41833333,54.69,59.67,63.98,75.46,39.09,60.32,57.725
74.98,41.63,61.56,59.41833333,54.69,59.67,63.98,75.46,39.09,60.32,57.725,52.72
41.63,61.56,59.41833333,54.69,59.67,63.98,75.46,39.09,60.32,57.725,52.72,56.02
61.56,59.41833333,54.69,59.67,63.98,75.46,39.09,60.32,57.725,52.72,56.02,62.74
59.41833333,54.69,59.67,63.98,75.46,39.09,60.32,57.725,52.72,56.02,62.74,75.55
54.69,59.67,63.98,75.46,39.09,60.32,57.725,52.72,56.02,62.74,75.55,37.9
59.67,63.98,75.46,39.09,60.32,57.725,52.72,56.02,62.74,75.55,37.9,59.57
63.98,75.46,39.09,60.32,57.725,52.72,56.02,62.74,75.55,37.9,59.57,55.84166667
75.46,39.09,60.32,57.725,52.72,56.02,62.74,75.55,37.9,59.57,55.84166667,48.17
39.09,60.32,57.725,52.72,56.02,62.74,75.55,37.9,59.57,55.84166667,48.17,52.1
60.32,57.725,52.72,56.02,62.74,75.55,37.9,59.57,55.84166667,48.17,52.1,61.76
57.725,52.72,56.02,62.74,75.55,37.9,59.57,55.84166667,48.17,52.1,61.76,75.87
52.72,56.02,62.74,75.55,37.9,59.57,55.84166667,48.17,52.1,61.76,75.87,39.4
56.02,62.74,75.55,37.9,59.57,55.84166667,48.17,52.1,61.76,75.87,39.4,58.2
62.74,75.55,37.9,59.57,55.84166667,48.17,52.1,61.76,75.87,39.4,58.2,54.10666667
75.55,37.9,59.57,55.84166667,48.17,52.1,61.76,75.87,39.4,58.2,54.10666667,42.19
37.9,59.57,55.84166667,48.17,52.1,61.76,75.87,39.4,58.2,54.10666667,42.19,49.53
59.57,55.84166667,48.17,52.1,61.76,75.87,39.4,58.2,54.10666667,42.19,49.53,59.45
55.84166667,48.17,52.1,61.76,75.87,39.4,58.2,54.10666667,42.19,49.53,59.45,75.96
48.17,52.1,61.76,75.87,39.4,58.2,54.10666667,42.19,49.53,59.45,75.96,37.39
52.1,61.76,75.87,39.4,58.2,54.10666667,42.19,49.53,59.45,75.96,37.39,57.73
61.76,75.87,39.4,58.2,54.10666667,42.19,49.53,59.45,75.96,37.39,57.73,52.43833333
75.87,39.4,58.2,54.10666667,42.19,49.53,59.45,75.96,37.39,57.73,52.43833333,40.74
39.4,58.2,54.10666667,42.19,49.53,59.45,75.96,37.39,57.73,52.43833333,40.74,47.59
58.2,54.10666667,42.19,49.53,59.45,75.96,37.39,57.73,52.43833333,40.74,47.59,55.22
54.10666667,42.19,49.53,59.45,75.96,37.39,57.73,52.43833333,40.74,47.59,55.22,75.46
42.19,49.53,59.45,75.96,37.39,57.73,52.43833333,40.74,47.59,55.22,75.46,37.33
49.53,59.45,75.96,37.39,57.73,52.43833333,40.74,47.59,55.22,75.46,37.33,57.67
59.45,75.96,37.39,57.73,52.43833333,40.74,47.59,55.22,75.46,37.33,57.67,51.53666667
75.96,37.39,57.73,52.43833333,40.74,47.59,55.22,75.46,37.33,57.67,51.53666667,39.92
37.39,57.73,52.43833333,40.74,47.59,55.22,75.46,37.33,57.67,51.53666667,39.92,48.04
57.73,52.43833333,40.74,47.59,55.22,75.46,37.33,57.67,51.53666667,39.92,48.04,50.8
52.43833333,40.74,47.59,55.22,75.46,37.33,57.67,51.53666667,39.92,48.04,50.8,73.9
40.74,47.59,55.22,75.46,37.33,57.67,51.53666667,39.92,48.04,50.8,73.9,35.73
47.59,55.22,75.46,37.33,57.67,51.53666667,39.92,48.04,50.8,73.9,35.73,57.48
55.22,75.46,37.33,57.67,51.53666667,39.92,48.04,50.8,73.9,35.73,57.48,50.48
75.46,37.33,57.67,51.53666667,39.92,48.04,50.8,73.9,35.73,57.48,50.48,38.53
37.33,57.67,51.53666667,39.92,48.04,50.8,73.9,35.73,57.48,50.48,38.53,47.43
57.67,51.53666667,39.92,48.04,50.8,73.9,35.73,57.48,50.48,38.53,47.43,49.81
51.53666667,39.92,48.04,50.8,73.9,35.73,57.48,50.48,38.53,47.43,49.81,72.02
39.92,48.04,50.8,73.9,35.73,57.48,50.48,38.53,47.43,49.81,72.02,34.95
48.04,50.8,73.9,35.73,57.48,50.48,38.53,47.43,49.81,72.02,34.95,55.43
50.8,73.9,35.73,57.48,50.48,38.53,47.43,49.81,72.02,34.95,55.43,49.16666667
73.9,35.73,57.48,50.48,38.53,47.43,49.81,72.02,34.95,55.43,49.16666667,38.38
35.73,57.48,50.48,38.53,47.43,49.81,72.02,34.95,55.43,49.16666667,38.38,44.36
57.48,50.48,38.53,47.43,49.81,72.02,34.95,55.43,49.16666667,38.38,44.36,49.86
50.48,38.53,47.43,49.81,72.02,34.95,55.43,49.16666667,38.38,44.36,49.86,69.08
38.53,47.43,49.81,72.02,34.95,55.43,49.16666667,38.38,44.36,49.86,69.08,34.06
47.43,49.81,72.02,34.95,55.43,49.16666667,38.38,44.36,49.86,69.08,34.06,53.72
49.81,72.02,34.95,55.43,49.16666667,38.38,44.36,49.86,69.08,34.06,53.72,47.60833333
72.02,34.95,55.43,49.16666667,38.38,44.36,49.86,69.08,34.06,53.72,47.60833333,38.78
34.95,55.43,49.16666667,38.38,44.36,49.86,69.08,34.06,53.72,47.60833333,38.78,41.55
55.43,49.16666667,38.38,44.36,49.86,69.08,34.06,53.72,47.60833333,38.78,41.55,48.46
49.16666667,38.38,44.36,49.86,69.08,34.06,53.72,47.60833333,38.78,41.55,48.46,66.5
38.38,44.36,49.86,69.08,34.06,53.72,47.60833333,38.78,41.55,48.46,66.5,32.8
44.36,49.86,69.08,34.06,53.72,47.60833333,38.78,41.55,48.46,66.5,32.8,51.34
49.86,69.08,34.06,53.72,47.60833333,38.78,41.55,48.46,66.5,32.8,51.34,45.59
69.08,34.06,53.72,47.60833333,38.78,41.55,48.46,66.5,32.8,51.34,45.59,37.47
34.06,53.72,47.60833333,38.78,41.55,48.46,66.5,32.8,51.34,45.59,37.47,38.05
53.72,47.60833333,38.78,41.55,48.46,66.5,32.8,51.34,45.59,37.47,38.05,47.38
47.60833333,38.78,41.55,48.46,66.5,32.8,51.34,45.59,37.47,38.05,47.38,63.06
38.78,41.55,48.46,66.5,32.8,51.34,45.59,37.47,38.05,47.38,63.06,33.75
41.55,48.46,66.5,32.8,51.34,45.59,37.47,38.05,47.38,63.06,33.75,49.5
48.46,66.5,32.8,51.34,45.59,37.47,38.05,47.38,63.06,33.75,49.5,44.20333333
66.5,32.8,51.34,45.59,37.47,38.05,47.38,63.06,33.75,49.5,44.20333333,36.62
32.8,51.34,45.59,37.47,38.05,47.38,63.06,33.75,49.5,44.20333333,36.62,36.63
51.34,45.59,37.47,38.05,47.38,63.06,33.75,49.5,44.20333333,36.62,36.63,45.66
45.59,37.47,38.05,47.38,63.06,33.75,49.5,44.20333333,36.62,36.63,45.66,59.31
37.47,38.05,47.38,63.06,33.75,49.5,44.20333333,36.62,36.63,45.66,59.31,33.6
38.05,47.38,63.06,33.75,49.5,44.20333333,36.62,36.63,45.66,59.31,33.6,47.78
47.38,63.06,33.75,49.5,44.20333333,36.62,36.63,45.66,59.31,33.6,47.78,42.93
63.06,33.75,49.5,44.20333333,36.62,36.63,45.66,59.31,33.6,47.78,42.93,35.51
33.75,49.5,44.20333333,36.62,36.63,45.66,59.31,33.6,47.78,42.93,35.51,35.59
49.5,44.20333333,36.62,36.63,45.66,59.31,33.6,47.78,42.93,35.51,35.59,45.79
44.20333333,36.62,36.63,45.66,59.31,33.6,47.78,42.93,35.51,35.59,45.79,56.14
36.62,36.63,45.66,59.31,33.6,47.78,42.93,35.51,35.59,45.79,56.14,33.69
36.63,45.66,59.31,33.6,47.78,42.93,35.51,35.59,45.79,56.14,33.69,47.12
45.66,59.31,33.6,47.78,42.93,35.51,35.59,45.79,56.14,33.69,47.12,42.73333333
59.31,33.6,47.78,42.93,35.51,35.59,45.79,56.14,33.69,47.12,42.73333333,36.59
33.6,47.78,42.93,35.51,35.59,45.79,56.14,33.69,47.12,42.73333333,36.59,35.14
47.78,42.93,35.51,35.59,45.79,56.14,33.69,47.12,42.73333333,36.59,35.14,47.72
42.93,35.51,35.59,45.79,56.14,33.69,47.12,42.73333333,36.59,35.14,47.72,52.6
35.51,35.59,45.79,56.14,33.69,47.12,42.73333333,36.59,35.14,47.72,52.6,35.41
35.59,45.79,56.14,33.69,47.12,42.73333333,36.59,35.14,47.72,52.6,35.41,46.1
45.79,56.14,33.69,47.12,42.73333333,36.59,35.14,47.72,52.6,35.41,46.1,42.31166667
56.14,33.69,47.12,42.73333333,36.59,35.14,47.72,52.6,35.41,46.1,42.31166667,35.43
33.69,47.12,42.73333333,36.59,35.14,47.72,52.6,35.41,46.1,42.31166667,35.43,35.03
47.12,42.73333333,36.59,35.14,47.72,52.6,35.41,46.1,42.31166667,35.43,35.03,49.3
42.73333333,36.59,35.14,47.72,52.6,35.41,46.1,42.31166667,35.43,35.03,49.3,49.32
36.59,35.14,47.72,52.6,35.41,46.1,42.31166667,35.43,35.03,49.3,49.32,36.03
35.14,47.72,52.6,35.41,46.1,42.31166667,35.43,35.03,49.3,49.32,36.03,44.72
47.72,52.6,35.41,46.1,42.31166667,35.43,35.03,49.3,49.32,36.03,44.72,40.94333333
52.6,35.41,46.1,42.31166667,35.43,35.03,49.3,49.32,36.03,44.72,40.94333333,36.71
35.41,46.1,42.31166667,35.43,35.03,49.3,49.32,36.03,44.72,40.94333333,36.71,30.74
46.1,42.31166667,35.43,35.03,49.3,49.32,36.03,44.72,40.94333333,36.71,30.74,48.14
42.31166667,35.43,35.03,49.3,49.32,36.03,44.72,40.94333333,36.71,30.74,48.14,46.77
35.43,35.03,49.3,49.32,36.03,44.72,40.94333333,36.71,30.74,48.14,46.77,35.74
35.03,49.3,49.32,36.03,44.72,40.94333333,36.71,30.74,48.14,46.77,35.74,44.99
49.3,49.32,36.03,44.72,40.94333333,36.71,30.74,48.14,46.77,35.74,44.99,40.24166667
49.32,36.03,44.72,40.94333333,36.71,30.74,48.14,46.77,35.74,44.99,40.24166667,38.19
36.03,44.72,40.94333333,36.71,30.74,48.14,46.77,35.74,44.99,40.24166667,38.19,27.38
44.72,40.94333333,36.71,30.74,48.14,46.77,35.74,44.99,40.24166667,38.19,27.38,48.38
40.94333333,36.71,30.74,48.14,46.77,35.74,44.99,40.24166667,38.19,27.38,48.38,43.71
36.71,30.74,48.14,46.77,35.74,44.99,40.24166667,38.19,27.38,48.38,43.71,37.45
30.74,48.14,46.77,35.74,44.99,40.24166667,38.19,27.38,48.38,43.71,37.45,43.42
48.14,46.77,35.74,44.99,40.24166667,38.19,27.38,48.38,43.71,37.45,43.42,39.32666667
46.77,35.74,44.99,40.24166667,38.19,27.38,48.38,43.71,37.45,43.42,39.32666667,37.97
35.74,44.99,40.24166667,38.19,27.38,48.38,43.71,37.45,43.42,39.32666667,37.97,24.67
44.99,40.24166667,38.19,27.38,48.38,43.71,37.45,43.42,39.32666667,37.97,24.67,48.74
40.24166667,38.19,27.38,48.38,43.71,37.45,43.42,39.32666667,37.97,24.67,48.74,40.86
38.19,27.38,48.38,43.71,37.45,43.42,39.32666667,37.97,24.67,48.74,40.86,39.24
27.38,48.38,43.71,37.45,43.42,39.32666667,37.97,24.67,48.74,40.86,39.24,42.56
48.38,43.71,37.45,43.42,39.32666667,37.97,24.67,48.74,40.86,39.24,42.56,38.59
43.71,37.45,43.42,39.32666667,37.97,24.67,48.74,40.86,39.24,42.56,38.59,37.93
37.45,43.42,39.32666667,37.97,24.67,48.74,40.86,39.24,42.56,38.59,37.93,22.31
43.42,39.32666667,37.97,24.67,48.74,40.86,39.24,42.56,38.59,37.93,22.31,48.64
39.32666667,37.97,24.67,48.74,40.86,39.24,42.56,38.59,37.93,22.31,48.64,38.13
37.97,24.67,48.74,40.86,39.24,42.56,38.59,37.93,22.31,48.64,38.13,38.21
24.67,48.74,40.86,39.24,42.56,38.59,37.93,22.31,48.64,38.13,38.21,41.94
48.74,40.86,39.24,42.56,38.59,37.93,22.31,48.64,38.13,38.21,41.94,37.15166667
40.86,39.24,42.56,38.59,37.93,22.31,48.64,38.13,38.21,41.94,37.15166667,37.5
39.24,42.56,38.59,37.93,22.31,48.64,38.13,38.21,41.94,37.15166667,37.5,20.21
42.56,38.59,37.93,22.31,48.64,38.13,38.21,41.94,37.15166667,37.5,20.21,46.92
38.59,37.93,22.31,48.64,38.13,38.21,41.94,37.15166667,37.5,20.21,46.92,35.07
37.93,22.31,48.64,38.13,38.21,41.94,37.15166667,37.5,20.21,46.92,35.07,36.98
22.31,48.64,38.13,38.21,41.94,37.15166667,37.5,20.21,46.92,35.07,36.98,39.94
48.64,38.13,38.21,41.94,37.15166667,37.5,20.21,46.92,35.07,36.98,39.94,35.51666667
38.13,38.21,41.94,37.15166667,37.5,20.21,46.92,35.07,36.98,39.94,35.51666667,36.76
38.21,41.94,37.15166667,37.5,20.21,46.92,35.07,36.98,39.94,35.51666667,36.76,20.18
41.94,37.15166667,37.5,20.21,46.92,35.07,36.98,39.94,35.51666667,36.76,20.18,44.17
37.15166667,37.5,20.21,46.92,35.07,36.98,39.94,35.51666667,36.76,20.18,44.17,31.68
37.5,20.21,46.92,35.07,36.98,39.94,35.51666667,36.76,20.18,44.17,31.68,34.34
20.21,46.92,35.07,36.98,39.94,35.51666667,36.76,20.18,44.17,31.68,34.34,38.39
46.92,35.07,36.98,39.94,35.51666667,36.76,20.18,44.17,31.68,34.34,38.39,33.9
35.07,36.98,39.94,35.51666667,36.76,20.18,44.17,31.68,34.34,38.39,33.9,36.41
36.98,39.94,35.51666667,36.76,20.18,44.17,31.68,34.34,38.39,33.9,36.41,19.29
39.94,35.51666667,36.76,20.18,44.17,31.68,34.34,38.39,33.9,36.41,19.29,43.29
35.51666667,36.76,20.18,44.17,31.68,34.34,38.39,33.9,36.41,19.29,43.29,29.29
36.76,20.18,44.17,31.68,34.34,38.39,33.9,36.41,19.29,43.29,29.29,32.81
20.18,44.17,31.68,34.34,38.39,33.9,36.41,19.29,43.29,29.29,32.81,37.27
44.17,31.68,34.34,38.39,33.9,36.41,19.29,43.29,29.29,32.81,37.27,33.05
31.68,34.34,38.39,33.9,36.41,19.29,43.29,29.29,32.81,37.27,33.05,37.94
34.34,38.39,33.9,36.41,19.29,43.29,29.29,32.81,37.27,33.05,37.94,19.42
38.39,33.9,36.41,19.29,43.29,29.29,32.81,37.27,33.05,37.94,19.42,41.57
33.9,36.41,19.29,43.29,29.29,32.81,37.27,33.05,37.94,19.42,41.57,27.07
36.41,19.29,43.29,29.29,32.81,37.27,33.05,37.94,19.42,41.57,27.07,30.51
19.29,43.29,29.29,32.81,37.27,33.05,37.94,19.42,41.57,27.07,30.51,35.07
43.29,29.29,32.81,37.27,33.05,37.94,19.42,41.57,27.07,30.51,35.07,32.30166667
29.29,32.81,37.27,33.05,37.94,19.42,41.57,27.07,30.51,35.07,32.30166667,39.87
32.81,37.27,33.05,37.94,19.42,41.57,27.07,30.51,35.07,32.30166667,39.87,19.15
37.27,33.05,37.94,19.42,41.57,27.07,30.51,35.07,32.30166667,39.87,19.15,42.14
33.05,37.94,19.42,41.57,27.07,30.51,35.07,32.30166667,39.87,19.15,42.14,25.79
37.94,19.42,41.57,27.07,30.51,35.07,32.30166667,39.87,19.15,42.14,25.79,30.11
19.42,41.57,27.07,30.51,35.07,32.30166667,39.87,19.15,42.14,25.79,30.11,33.34
41.57,27.07,30.51,35.07,32.30166667,39.87,19.15,42.14,25.79,30.11,33.34,31.86666667
27.07,30.51,35.07,32.30166667,39.87,19.15,42.14,25.79,30.11,33.34,31.86666667,41.82
30.51,35.07,32.30166667,39.87,19.15,42.14,25.79,30.11,33.34,31.86666667,41.82,19.09
35.07,32.30166667,39.87,19.15,42.14,25.79,30.11,33.34,31.86666667,41.82,19.09,41.05
32.30166667,39.87,19.15,42.14,25.79,30.11,33.34,31.86666667,41.82,19.09,41.05,23.93
39.87,19.15,42.14,25.79,30.11,33.34,31.86666667,41.82,19.09,41.05,23.93,30.0
19.15,42.14,25.79,30.11,33.34,31.86666667,41.82,19.09,41.05,23.93,30.0,32.01
42.14,25.79,30.11,33.34,31.86666667,41.82,19.09,41.05,23.93,30.0,32.01,31.04666667
25.79,30.11,33.34,31.86666667,41.82,19.09,41.05,23.93,30.0,32.01,31.04666667,39.99
30.11,33.34,31.86666667,41.82,19.09,41.05,23.93,30.0,32.01,31.04666667,39.99,20.56
33.34,31.86666667,41.82,19.09,41.05,23.93,30.0,32.01,31.04666667,39.99,20.56,39.79
31.86666667,41.82,19.09,41.05,23.93,30.0,32.01,31.04666667,39.99,20.56,39.79,22.47
41.82,19.09,41.05,23.93,30.0,32.01,31.04666667,39.99,20.56,39.79,22.47,29.89
19.09,41.05,23.93,30.0,32.01,31.04666667,39.99,20.56,39.79,22.47,29.89,30.6
41.05,23.93,30.0,32.01,31.04666667,39.99,20.56,39.79,22.47,29.89,30.6,31.02
23.93,30.0,32.01,31.04666667,39.99,20.56,39.79,22.47,29.89,30.6,31.02,42.48
30.0,32.01,31.04666667,39.99,20.56,39.79,22.47,29.89,30.6,31.02,42.48,21.56
32.01,31.04666667,39.99,20.56,39.79,22.47,29.89,30.6,31.02,42.48,21.56,39.12
31.04666667,39.99,20.56,39.79,22.47,29.89,30.6,31.02,42.48,21.56,39.12,22.29
39.99,20.56,39.79,22.47,29.89,30.6,31.02,42.48,21.56,39.12,22.29,30.17
20.56,39.79,22.47,29.89,30.6,31.02,42.48,21.56,39.12,22.29,30.17,33.54
39.79,22.47,29.89,30.6,31.02,42.48,21.56,39.12,22.29,30.17,33.54,32.29833333
22.47,29.89,30.6,31.02,42.48,21.56,39.12,22.29,30.17,33.54,32.29833333,42.13
29.89,30.6,31.02,42.48,21.56,39.12,22.29,30.17,33.54,32.29833333,42.13,26.84
30.6,31.02,42.48,21.56,39.12,22.29,30.17,33.54,32.29833333,42.13,26.84,38.82
31.02,42.48,21.56,39.12,22.29,30.17,33.54,32.29833333,42.13,26.84,38.82,21.49
42.48,21.56,39.12,22.29,30.17,33.54,32.29833333,42.13,26.84,38.82,21.49,29.47
21.56,39.12,22.29,30.17,33.54,32.29833333,42.13,26.84,38.82,21.49,29.47,34.24
39.12,22.29,30.17,33.54,32.29833333,42.13,26.84,38.82,21.49,29.47,34.24,32.37333333
22.29,30.17,33.54,32.29833333,42.13,26.84,38.82,21.49,29.47,34.24,32.37333333,42.06
